Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
"FPD170: Beta low stop (conical,concentric)","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('L1','C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.1)",FALSE,4,Beta value must be >= 0.1 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.,,,,,
FPD170: Beta high stop (conical),('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.316),FALSE,4,Beta must be <= 0.316 - Consider reducing Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
FPD170: Beta high stop (concentric),"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C2','C3')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.75)",FALSE,4,Beta must be <= 0.75 - Consider reducing Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
"FPD170: Beta low stop (eccentric,segmental)","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.46)",FALSE,4,Beta value must be >= 0.46 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.,,,,,
"FPD170: Beta high stop (eccentric,segmental)","('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('E1','E2','E3','S2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.84)",FALSE,4,Beta must be <= 0.84 - Consider reducing Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
FPD170: Beta low stop (quarter circle),"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] < 0.245)",FALSE,4,Beta value must be >= 0.245 - Consider using a lower DP to achieve a larger Beta or consider using a larger line size.,,,,,
FPD170: Beta high stop (quarter circle),"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('U1','U2')) AND ([Beta] IS NOT NULL) AND ([Beta] > 0.6)",FALSE,4,Beta must be <= 0.6 - Consider reducing Beta by accepting a higher DP or consider using a smaller line size. Please check the acceptability of the overall pressure loss.,,,,,
FPD170: Beta/Reynolds @ meter max/Design (concentric:corner or D D/2)  minimum B<56,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] <= 0.56) AND ([ReynoldsNoAtMeterMax] < 5000)",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta <= 0.56, Reynolds number must be >= 5000 - Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (concentric:corner or D D/2) minimum B>56,"('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN} IN ('C1','C3')) AND ([Beta] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([Beta] > 0.56) AND ([ReynoldsNoAtMeterMax] < 16000 * [Beta] * [Beta])",FALSE,2,"For Concentric plates with corner or (D + D/2) taps with Beta > 0.56, Reynolds number must be <= 16000*Beta² - Reynolds number is greater than the maximum limit for this product, please check the accuracy of the input data or consider increasing the line size.",,,,,
FPD170: Beta/Reynolds @ meter max/Design (concentric:flange) minimum 1,('[ProductCode]'='FPD170') AND ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 5000),FALSE,2,"For Concentric plates with flange taps, Reynolds number must be >= 5000 -  Reynolds number is less than the minimum limit for this product, please check the accuracy of the input data or consider decreasing the line size.",,,,,
