"ProductCode","SelectionGroup","PartNumber","ExclusionRule","Cost"
A6,CH/A6/MATERIALS,"A","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","0"
A6,CH/A6/MATERIALS,"A","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","12.8"
A6,CH/A6/MATERIALS,"A","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","11"
A6,CH/A6/MATERIALS,"B","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","0"
A6,CH/A6/MATERIALS,"B","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","12.8"
A6,CH/A6/MATERIALS,"B","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","11"
A6,CH/A6/MATERIALS,"C","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","3.19"
A6,CH/A6/MATERIALS,"C","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","15.7"
A6,CH/A6/MATERIALS,"C","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","14.3"
A6,CH/A6/MATERIALS,"D","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","103"
A6,CH/A6/MATERIALS,"D","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","112"
A6,CH/A6/MATERIALS,"D","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","111"
A6,CH/A6/MATERIALS,"I","CH/A6/CONN/TYPE=1","52.1"
A6,CH/A6/MATERIALS,"I","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","20.4"
A6,CH/A6/MATERIALS,"I","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","50.7"
A6,CH/A6/MATERIALS,"I","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","52.1"
A6,CH/A6/MATERIALS,"J","CH/A6/CONN/TYPE=1","52.1"
A6,CH/A6/MATERIALS,"J","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","20.4"
A6,CH/A6/MATERIALS,"J","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","50.7"
A6,CH/A6/MATERIALS,"J","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","52.1"
A6,CH/A6/MATERIALS,"K","CH/A6/CONN/TYPE=1","55.2"
A6,CH/A6/MATERIALS,"K","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","23.3"
A6,CH/A6/MATERIALS,"K","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","53.7"
A6,CH/A6/MATERIALS,"K","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","55.2"
A6,CH/A6/MATERIALS,"L","CH/A6/CONN/TYPE=1","151"
A6,CH/A6/MATERIALS,"L","CH/A6/CONN/TYPE=2 OR CH/A6/CONN/TYPE=3 OR CH/A6/CONN/TYPE=4","118"
A6,CH/A6/MATERIALS,"L","CH/A6/CONN/TYPE=5 OR CH/A6/CONN/TYPE=6","149"
A6,CH/A6/MATERIALS,"L","CH/A6/CONN/TYPE=7 OR CH/A6/CONN/TYPE=8","151"
A6,CH/A6/REGULATOR,"1","CH/A6/MATERIALS=A OR CH/A6/MATERIALS=B OR CH/A6/MATERIALS=C OR CH/A6/MATERIALS=D","138"
A6,CH/A6/REGULATOR,"1","CH/A6/MATERIALS=I OR CH/A6/MATERIALS=J OR CH/A6/MATERIALS=K OR CH/A6/MATERIALS=L","271"
A6,CH/A6/REGULATOR,"2","CH/A6/MATERIALS=A OR CH/A6/MATERIALS=B OR CH/A6/MATERIALS=C OR CH/A6/MATERIALS=D","138"
A6,CH/A6/REGULATOR,"2","CH/A6/MATERIALS=I OR CH/A6/MATERIALS=J OR CH/A6/MATERIALS=K OR CH/A6/MATERIALS=L","271"
A6,CH/A6/REGULATOR,"3","CH/A6/MATERIALS=A OR CH/A6/MATERIALS=B OR CH/A6/MATERIALS=C OR CH/A6/MATERIALS=D","209"
A6,CH/A6/REGULATOR,"3","CH/A6/MATERIALS=I OR CH/A6/MATERIALS=J OR CH/A6/MATERIALS=K OR CH/A6/MATERIALS=L","332"
A6,CH/A6/REGULATOR,"4","CH/A6/MATERIALS=A OR CH/A6/MATERIALS=B OR CH/A6/MATERIALS=C OR CH/A6/MATERIALS=D","209"
A6,CH/A6/REGULATOR,"4","CH/A6/MATERIALS=I OR CH/A6/MATERIALS=J OR CH/A6/MATERIALS=K OR CH/A6/MATERIALS=L","332"
