UnitName,Active,ConvertTo_Secs,ConvertTo_m3,ConvertTo_kg,IsVolumeFlow,ConvertAt_STP,ConvertAt_STP68F,ConvertAt_NTP,EnglishUS,French,German,Spanish,Russian
kg/s,TRUE,1,1,1,FALSE,FALSE,FALSE,FALSE,,,,,
kg/min,TRUE,60,1,1,FALSE,FALSE,FALSE,FALSE,,,,,
kg/h,TRUE,3600,1,1,FALSE,FALSE,FALSE,FALSE,,,,,
kg/day,TRUE,86400,1,1,FALSE,FALSE,FALSE,FALSE,,,,,
lb/s,TRUE,1,1,0.45359237,FALSE,FALSE,FALSE,FALSE,,,,,
lb/min,TRUE,60,1,0.45359237,FALSE,FALSE,FALSE,FALSE,,,,,
lb/h,TRUE,3600,1,0.45359237,FALSE,FALSE,FALSE,FALSE,,,,,
lb/day,TRUE,86400,1,0.45359237,FALSE,FALSE,FALSE,FALSE,,,,,
Tonne/s,TRUE,1,1,1000,FALSE,FALSE,FALSE,FALSE,,,,,
Tonne/min,TRUE,60,1,1000,FALSE,FALSE,FALSE,FALSE,,,,,
Tonne/h,TRUE,3600,1,1000,FALSE,FALSE,FALSE,FALSE,,,,,
Tonne/day,TRUE,86400,1,1000,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(L)/s,TRUE,1,1,1016.04691,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(L)/min,TRUE,60,1,1016.04691,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(L)/h,TRUE,3600,1,1016.04691,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(L)/day,TRUE,86400,1,1016.04691,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(S)/s,TRUE,1,1,907.18474,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(S)/min,TRUE,60,1,907.18474,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(S)/h,TRUE,3600,1,907.18474,FALSE,FALSE,FALSE,FALSE,,,,,
Ton(S)/day,TRUE,86400,1,907.18474,FALSE,FALSE,FALSE,FALSE,,,,,
m³/s,TRUE,1,1,1,TRUE,FALSE,FALSE,FALSE,,,,,
m³/min,TRUE,60,1,1,TRUE,FALSE,FALSE,FALSE,,,,,
m³/h,TRUE,3600,1,1,TRUE,FALSE,FALSE,FALSE,,,,,
m³/day,TRUE,86400,1,1,TRUE,FALSE,FALSE,FALSE,,,,,
litres/s,TRUE,1,0.001,1,TRUE,FALSE,FALSE,FALSE,,,,,
litres/min,TRUE,60,0.001,1,TRUE,FALSE,FALSE,FALSE,,,,,
litres/h,TRUE,3600,0.001,1,TRUE,FALSE,FALSE,FALSE,,,,,
litres/day,TRUE,86400,0.001,1,TRUE,FALSE,FALSE,FALSE,,,,,
ft³/s,TRUE,1,0.028316847,1,TRUE,FALSE,FALSE,FALSE,,,,,
ft³/min,TRUE,60,0.028316847,1,TRUE,FALSE,FALSE,FALSE,,,,,
ft³/h,TRUE,3600,0.028316847,1,TRUE,FALSE,FALSE,FALSE,,,,,
ft³/day,TRUE,86400,0.028316847,1,TRUE,FALSE,FALSE,FALSE,,,,,
UKG/s,TRUE,1,0.004546092,1,TRUE,FALSE,FALSE,FALSE,,,,,
UKG/min,TRUE,60,0.004546092,1,TRUE,FALSE,FALSE,FALSE,,,,,
UKG/h,TRUE,3600,0.004546092,1,TRUE,FALSE,FALSE,FALSE,,,,,
UKG/day,TRUE,86400,0.004546092,1,TRUE,FALSE,FALSE,FALSE,,,,,
USG/s,TRUE,1,0.003785412,1,TRUE,FALSE,FALSE,FALSE,,,,,
USG/min,TRUE,60,0.003785412,1,TRUE,FALSE,FALSE,FALSE,,,,,
USG/h,TRUE,3600,0.003785412,1,TRUE,FALSE,FALSE,FALSE,,,,,
USG/day,TRUE,86400,0.003785412,1,TRUE,FALSE,FALSE,FALSE,,,,,
UK Barrels/day,TRUE,86400,0.16365924,1,TRUE,FALSE,FALSE,FALSE,,,,,
US Barrels/day,TRUE,86400,0.119240471,1,TRUE,FALSE,FALSE,FALSE,,,,,
Petroleum Barrels/day,TRUE,86400,0.158987295,1,TRUE,FALSE,FALSE,FALSE,,,,,
Sm³/s,TRUE,1,1,1,TRUE,TRUE,FALSE,FALSE,,,,,
Sm³/min,TRUE,60,1,1,TRUE,TRUE,FALSE,FALSE,,,,,
Sm³/h,TRUE,3600,1,1,TRUE,TRUE,FALSE,FALSE,,,,,
Sm³/day,TRUE,86400,1,1,TRUE,TRUE,FALSE,FALSE,,,,,
Scf/s,TRUE,1,0.028316847,1,TRUE,TRUE,FALSE,FALSE,,,,,
Scf/min,TRUE,60,0.028316847,1,TRUE,TRUE,FALSE,FALSE,,,,,
Scf/h,TRUE,3600,0.028316847,1,TRUE,TRUE,FALSE,FALSE,,,,,
Scf/day,TRUE,86400,0.028316847,1,TRUE,TRUE,FALSE,FALSE,,,,,
MMScf/h,TRUE,3600,28316.847,1,TRUE,TRUE,FALSE,FALSE,,,,,
MScf/h,TRUE,3600,28.316847,1,TRUE,TRUE,FALSE,FALSE,,,,,
Nm³/s,TRUE,1,1,1,TRUE,FALSE,FALSE,TRUE,,,,,
Nm³/min,TRUE,60,1,1,TRUE,FALSE,FALSE,TRUE,,,,,
Nm³/h,TRUE,3600,1,1,TRUE,FALSE,FALSE,TRUE,,,,,
Nm³/day,TRUE,86400,1,1,TRUE,FALSE,FALSE,TRUE,,,,,
Ncf/s,TRUE,1,0.028316847,1,TRUE,FALSE,FALSE,TRUE,,,,,
Ncf/min,TRUE,60,0.028316847,1,TRUE,FALSE,FALSE,TRUE,,,,,
Ncf/h,TRUE,3600,0.028316847,1,TRUE,FALSE,FALSE,TRUE,,,,,
Ncf/day,TRUE,86400,0.028316847,1,TRUE,FALSE,FALSE,TRUE,,,,,
Scf/s@68°F,TRUE,1,0.028316847,1,TRUE,FALSE,TRUE,FALSE,,,,,
