Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Air,270,10000,0.999934196,1.400842428,0.017279327,0.129022568
Air,270,20000,0.999868453,1.401069999,0.017282121,0.258062124
Air,270,30000,0.999802709,1.40129745,0.017284613,0.387118608
Air,270,40000,0.999737084,1.401525021,0.017286953,0.516192079
Air,270,50000,0.999671519,1.401752591,0.017289195,0.645282388
Air,270,60000,0.999605954,1.401980162,0.017291371,0.774389625
Air,270,70000,0.999540508,1.402207851,0.017293496,0.90351373
Air,270,80000,0.999475062,1.402435541,0.017295586,1.032654762
Air,270,90000,0.999409735,1.402663231,0.017297644,1.161812544
Air,270,100000,0.999344409,1.40289104,0.01729968,1.290987134
Air,270,500000,0.996779263,1.412030697,0.017376821,6.471547604
Air,270,1000000,0.993703723,1.423524976,0.017475544,12.9831543
Air,270,1500000,0.990777016,1.435078382,0.017579669,19.53225899
Air,270,2000000,0.988002598,1.446670532,0.01768928,26.11614227
Air,270,2500000,0.985383809,1.458279848,0.017804211,32.73193741
Air,270,3000000,0.982923865,1.469884157,0.01792429,39.37662506
Air,270,3500000,0.980625629,1.481460214,0.018049363,46.04706192
Air,273.1499939,10000,0.999938488,1.400778174,0.017442914,0.127534121
Air,273.1499939,20000,0.999877036,1.40099895,0.017445678,0.255083919
Air,273.1499939,30000,0.999815643,1.401219726,0.017448142,0.382649362
Air,273.1499939,40000,0.99975431,1.40144062,0.017450454,0.510230482
Air,273.1499939,50000,0.999693036,1.401661396,0.01745267,0.637827158
Air,273.1499939,60000,0.999631822,1.401882291,0.01745482,0.76543951
Air,273.1499939,70000,0.999570608,1.402103305,0.017456923,0.89306742
Air,273.1499939,80000,0.999509513,1.4023242,0.017458986,1.020710826
Air,273.1499939,90000,0.999448478,1.402545214,0.017461022,1.148369908
Air,273.1499939,100000,0.999387443,1.402766347,0.017463032,1.276044369
Air,273.1499939,500000,0.996993244,1.411631703,0.017539209,6.395543575
Air,273.1499939,1000000,0.994128346,1.422769547,0.017636614,12.82794857
Air,273.1499939,1500000,0.991408646,1.433952451,0.017739281,19.29470825
Air,273.1499939,2000000,0.988837242,1.445161104,0.017847287,25.79317856
Air,273.1499939,2500000,0.986417115,1.45637536,0.017960468,32.32057571
