Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Helium,270,10000,1.000052691,1.66666007,0.018774092,0.017828666
Helium,270,20000,1.0001055,1.666653514,0.018774448,0.03565545
Helium,270,30000,1.00015831,1.666646957,0.018774759,0.053480357
Helium,270,40000,1.000211,1.666640401,0.018775048,0.071303383
Helium,270,50000,1.00026381,1.666633844,0.018775322,0.089124523
Helium,270,60000,1.00031662,1.666627288,0.018775584,0.106943779
Helium,270,70000,1.00036943,1.666620731,0.018775839,0.124761157
Helium,270,80000,1.000422239,1.666614175,0.018776089,0.14257665
Helium,270,90000,1.000475049,1.666607618,0.018776335,0.160390273
Helium,270,100000,1.000527859,1.666600943,0.018776575,0.178202003
Helium,273.1499939,10000,1.000052094,1.66666019,0.018950034,0.017623074
Helium,273.1499939,20000,1.000104189,1.666653633,0.018950388,0.035244312
Helium,273.1499939,30000,1.000156403,1.666647077,0.018950695,0.052863717
Helium,273.1499939,40000,1.000208497,1.666640639,0.01895098,0.070481278
Helium,273.1499939,50000,1.000260592,1.666634083,0.018951252,0.088097006
Helium,273.1499939,60000,1.000312805,1.666627526,0.018951511,0.105710901
Helium,273.1499939,70000,1.0003649,1.66662097,0.018951764,0.123322949
Helium,273.1499939,80000,1.000417113,1.666614413,0.018952012,0.140933171
Helium,273.1499939,90000,1.000469208,1.666607857,0.018952254,0.158541545
Helium,273.1499939,100000,1.000521421,1.666601419,0.018952491,0.176148087
Helium,280,10000,1.000050783,1.66666019,0.019326245,0.017191963
Helium,280,20000,1.000101566,1.666653752,0.019326592,0.034382179
Helium,280,30000,1.000152349,1.666647434,0.019326894,0.05157065
Helium,280,40000,1.000203133,1.666640997,0.019327173,0.068757378
Helium,280,50000,1.000253916,1.66663444,0.019327438,0.085942358
Helium,280,60000,1.000304699,1.666628003,0.019327691,0.103125587
Helium,280,70000,1.000355482,1.666621566,0.019327939,0.120307073
Helium,280,80000,1.000406384,1.666615129,0.019328181,0.137486815
Helium,280,90000,1.000457168,1.666608691,0.019328417,0.154664814
Helium,280,100000,1.000507951,1.666602254,0.019328648,0.171841055
Helium,290,10000,1.000048876,1.666660428,0.019859334,0.016599167
Helium,290,20000,1.000097871,1.66665411,0.01985967,0.03319671
Helium,290,30000,1.000146747,1.666647792,0.019859962,0.049792629
