Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Methane,270,10000,0.999747515,1.314537406,0.010247016,0.071479462
Methane,270,20000,0.999495089,1.31489861,0.010249609,0.14299503
Methane,270,30000,0.999242604,1.315260291,0.010251923,0.21454674
Methane,270,40000,0.998990178,1.315622449,0.010254096,0.286134601
Methane,270,50000,0.998737752,1.315984964,0.010256181,0.357758671
Methane,270,60000,0.998485327,1.316348076,0.010258203,0.429418921
Methane,270,70000,0.998232961,1.316711545,0.010260182,0.501115441
Methane,270,80000,0.997980535,1.317075491,0.010262127,0.572848201
Methane,270,90000,0.997728169,1.317439914,0.010264045,0.6446172
Methane,270,100000,0.997475803,1.317804813,0.01026594,0.716422558
Methane,270,500000,0.987391293,1.332783461,0.010338262,3.618697882
Methane,270,1000000,0.97482121,1.352596045,0.010432286,7.330720425
Methane,270,1500000,0.962303996,1.373681307,0.010533441,11.13911247
Methane,270,2000000,0.949856162,1.396102428,0.010642273,15.04678726
Methane,270,2500000,0.937496305,1.419916511,0.010759109,19.0564518
Methane,270,3000000,0.925245702,1.445171237,0.010884275,23.17052078
Methane,270,3500000,0.913128138,1.471900582,0.011018128,27.39100266
Methane,270,4000000,0.901170611,1.50011909,0.011161065,31.7193737
Methane,270,4500000,0.889402986,1.529816747,0.0113135,36.15642929
Methane,273.1499939,10000,0.999757349,1.313427567,0.010355111,0.070654459
Methane,273.1499939,20000,0.999514759,1.313777566,0.010357675,0.141343206
Methane,273.1499939,30000,0.999272168,1.314127922,0.010359963,0.212066293
Methane,273.1499939,40000,0.999029636,1.314478755,0.010362112,0.282823712
Methane,273.1499939,50000,0.998787045,1.314830065,0.010364173,0.353615493
Methane,273.1499939,60000,0.998544514,1.315181732,0.010366173,0.424441665
Methane,273.1499939,70000,0.998301983,1.315533757,0.010368129,0.49530223
Methane,273.1499939,80000,0.998059452,1.315886378,0.010370051,0.566197217
Methane,273.1499939,90000,0.99781698,1.316239357,0.010371946,0.637126684
Methane,273.1499939,100000,0.997574508,1.316592693,0.01037382,0.708090603
Methane,273.1499939,500000,0.987889528,1.331082225,0.01044526,3.575162649
Methane,273.1499939,1000000,0.975829482,1.350196838,0.010538035,7.238694668
Methane,273.1499939,1500000,0.963833988,1.370476246,0.010637722,10.99317646
Methane,273.1499939,2000000,0.951919198,1.391970873,0.010744827,14.84103203
Methane,273.1499939,2500000,0.940103054,1.414724588,0.010859636,18.78446007
Methane,273.1499939,3000000,0.928405881,1.438771605,0.010982432,22.82535553
Methane,273.1499939,3500000,0.916850328,1.464132667,0.011113525,26.96520805
Methane,273.1499939,4000000,0.905461609,1.490811229,0.011253254,31.20499802
Methane,273.1499939,4500000,0.89426744,1.51878798,0.011401979,35.54506302
Methane,280,10000,0.999777377,1.31092,0.010588671,0.068924569
Methane,280,20000,0.999554813,1.311246872,0.010591174,0.137879834
Methane,280,30000,0.999332309,1.311574221,0.010593408,0.206865802
Methane,280,40000,0.999109745,1.311901927,0.010595504,0.275882483
Methane,280,50000,0.998887241,1.312229991,0.010597516,0.344929934
Methane,280,60000,0.998664796,1.312558413,0.010599467,0.414008141
Methane,280,70000,0.998442352,1.312887192,0.010601375,0.483117104
Methane,280,80000,0.998219907,1.313216329,0.01060325,0.552256882
Methane,280,90000,0.997997522,1.313545823,0.010605099,0.621427417
Methane,280,100000,0.997775137,1.313875675,0.010606926,0.690628767
Methane,280,500000,0.988901258,1.327367663,0.010676512,3.484130621
Methane,280,1000000,0.9778741,1.34507072,0.010766676,7.046840191
Methane,280,1500000,0.966931939,1.363736272,0.010863306,10.68987751
Methane,280,2000000,0.956089735,1.383393407,0.010966841,14.41480255
Methane,280,2500000,0.945364118,1.404064178,0.011077492,18.22293091
Methane,280,3000000,0.934773266,1.42576158,0.011195463,22.11527443
Methane,280,3500000,0.924337149,1.448487282,0.011320976,26.09245872
Methane,280,4000000,0.91407752,1.472227931,0.011454273,30.15465164
Methane,280,4500000,0.904018044,1.496952891,0.011595615,34.30147171
Methane,290,10000,0.999803543,1.30704689,0.010925788,0.066546112
Methane,290,20000,0.999607146,1.307343483,0.010928209,0.133118376
Methane,290,30000,0.999410808,1.307640195,0.010930368,0.199716806
Methane,290,40000,0.99921447,1.307937264,0.010932392,0.266341388
Methane,290,50000,0.999018192,1.308234692,0.010934335,0.332992166
Methane,290,60000,0.998821914,1.308532238,0.010936219,0.399669111
Methane,290,70000,0.998625696,1.308830142,0.010938061,0.466372252
Methane,290,80000,0.998429477,1.309128404,0.010939871,0.533101559
Methane,290,90000,0.998233318,1.309426904,0.010941655,0.599857152
Methane,290,100000,0.998037219,1.309725642,0.010943418,0.666638911
Methane,290,500000,0.990220487,1.321907759,0.01101045,3.359506607
Methane,290,1000000,0.980534077,1.337781191,0.011097032,6.78538847
Methane,290,1500000,0.970952809,1.354385376,0.011189512,10.27851868
Methane,290,2000000,0.961489975,1.371729493,0.011288246,13.839571
Methane,290,2500000,0.952159762,1.389816642,0.011393366,17.46898079
Methane,290,3000000,0.942977369,1.408642411,0.011504989,21.16690636
Methane,290,3500000,0.933959305,1.428193331,0.011623242,24.93316841
Methane,290,4000000,0.925122976,1.44844532,0.011748271,28.76722145
Methane,290,4500000,0.916486979,1.469362259,0.011880231,32.66807938
Methane,300,10000,0.99982655,1.302953959,0.011258156,0.064326428
Methane,300,20000,0.999653161,1.303223372,0.011260499,0.128675178
Methane,300,30000,0.99947983,1.303492904,0.011262587,0.193046242
Methane,300,40000,0.9993065,1.303762674,0.011264546,0.257439643
Methane,300,50000,0.999133229,1.304032564,0.011266424,0.321855336
Methane,300,60000,0.998960018,1.304302812,0.011268245,0.386293381
Methane,300,70000,0.998786807,1.304573178,0.011270026,0.450753778
Methane,300,80000,0.998613656,1.304843903,0.011271775,0.515236497
Methane,300,90000,0.998440564,1.305114746,0.011273498,0.579741538
Methane,300,100000,0.998267472,1.305385828,0.011275201,0.64426899
Methane,300,500000,0.991377592,1.316409349,0.011339842,3.243732691
Methane,300,1000000,0.982861638,1.330686808,0.011423096,6.543675423
Methane,300,1500000,0.974462867,1.3455199,0.011511753,9.900111198
Methane,300,2000000,0.966192544,1.360906839,0.011606112,13.31313896
Methane,300,2500000,0.958062589,1.37684083,0.011706246,16.78263855
Methane,300,3000000,0.950085759,1.393309116,0.011812209,20.30825233
Methane,300,3500000,0.942275405,1.410292149,0.011924068,23.88934898
Methane,300,4000000,0.934645414,1.427762985,0.012041897,27.5249939
Methane,300,4500000,0.927210331,1.445686221,0.012165782,31.21392441
Methane,320,10000,0.999864817,1.294258237,0.011908076,0.060303722
Methane,320,20000,0.999729633,1.294481516,0.011910277,0.120623752
Methane,320,30000,0.999594569,1.294704795,0.011912238,0.180960074
Methane,320,40000,0.999459505,1.294928312,0.011914075,0.241312712
Methane,320,50000,0.999324501,1.295151949,0.011915836,0.301681638
Methane,320,60000,0.999189496,1.295375705,0.011917544,0.362066865
Methane,320,70000,0.999054611,1.29559958,0.011919212,0.422468394
Methane,320,80000,0.998919725,1.295823574,0.011920849,0.482886225
Methane,320,90000,0.99878484,1.296047807,0.011922463,0.543320358
Methane,320,100000,0.998650074,1.296272039,0.011924057,0.603770733
Methane,320,500000,0.99329567,1.30535233,0.011984359,3.035126925
Methane,320,1000000,0.986709118,1.316997886,0.012061616,6.110774994
Methane,320,1500000,0.980247974,1.328964114,0.012143466,9.226578712
Methane,320,2000000,0.973920345,1.341240525,0.012230129,12.38203335
Methane,320,2500000,0.967734516,1.353813767,0.012321606,15.57647514
Methane,320,3000000,0.96169883,1.366666794,0.01241788,18.80908012
Methane,320,3500000,0.95582211,1.379779339,0.012518935,22.07884598
