Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Neon,270,10000,1.000045061,1.666684389,0.027685922,0.089886546
Neon,270,20000,1.000090122,1.666702151,0.02768708,0.179764986
Neon,270,30000,1.000135303,1.666719913,0.027688105,0.26963532
Neon,270,40000,1.000180364,1.666737676,0.027689062,0.359497577
Neon,270,50000,1.000225425,1.666755438,0.027689977,0.449351698
Neon,270,60000,1.000270486,1.6667732,0.027690861,0.539197743
Neon,270,70000,1.000315666,1.666790962,0.027691724,0.629035652
Neon,270,80000,1.000360727,1.666808605,0.027692568,0.718865514
Neon,270,90000,1.000405788,1.666826367,0.027693398,0.80868721
Neon,270,100000,1.00045085,1.66684401,0.027694218,0.89850086
Neon,270,500000,1.002256393,1.667545438,0.027724719,4.48441124
Neon,270,1000000,1.004517555,1.668404102,0.027762894,8.948633194
Neon,270,1500000,1.006783485,1.669242859,0.027802482,13.39274025
Neon,270,2000000,1.009054065,1.670062065,0.027843544,17.81680679
Neon,270,2500000,1.011329055,1.670862317,0.027886005,22.22090721
Neon,270,2760000,1.012513876,1.671270847,0.027908608,24.50317574
Neon,273.1499939,10000,1.000044823,1.666683555,0.027972307,0.088849992
Neon,273.1499939,20000,1.000089645,1.666700363,0.027973454,0.177692011
Neon,273.1499939,30000,1.000134468,1.666717172,0.027974468,0.266526073
Neon,273.1499939,40000,1.000179291,1.66673398,0.027975416,0.355352163
Neon,273.1499939,50000,1.000224113,1.666750789,0.027976319,0.444170296
Neon,273.1499939,60000,1.000268936,1.666767597,0.027977193,0.532980442
Neon,273.1499939,70000,1.000313759,1.666784406,0.027978044,0.62178266
Neon,273.1499939,80000,1.000358701,1.666801095,0.02797888,0.710576892
Neon,273.1499939,90000,1.000403523,1.666817904,0.027979702,0.799363196
Neon,273.1499939,100000,1.000448346,1.666834712,0.027980512,0.888141513
Neon,273.1499939,500000,1.002243519,1.667498946,0.028010624,4.432753563
Neon,273.1499939,1000000,1.004491448,1.668312192,0.028048286,8.845666885
Neon,273.1499939,1500000,1.006743908,1.669106483,0.028087327,13.23881531
Neon,273.1499939,2000000,1.00900054,1.669882417,0.02812781,17.61227226
Neon,273.1499939,2500000,1.011261582,1.67064023,0.028169664,21.96611977
Neon,273.1499939,2760000,1.012439013,1.671027184,0.028191941,24.22239304
Neon,280,10000,1.000044227,1.666681647,0.028596494,0.086676389
Neon,280,20000,1.000088573,1.666696548,0.028597614,0.173345104
Neon,280,30000,1.000132799,1.66671145,0.028598605,0.26000613
Neon,280,40000,1.000177026,1.666726351,0.028599529,0.346659511
Neon,280,50000,1.000221252,1.666741252,0.028600411,0.433305204
Neon,280,60000,1.000265598,1.666756153,0.028601265,0.519943237
Neon,280,70000,1.000309825,1.666771054,0.028602095,0.606573641
Neon,280,80000,1.000354052,1.666785955,0.028602909,0.693196297
Neon,280,90000,1.000398397,1.666800737,0.02860371,0.779811323
Neon,280,100000,1.000442624,1.666815639,0.0286045,0.866418719
Neon,280,500000,1.002214789,1.667404771,0.028633805,4.324433327
Neon,280,1000000,1.004433513,1.668125868,0.028670397,8.62976265
Neon,280,1500000,1.006656051,1.668830156,0.028708296,12.91606426
Neon,280,2000000,1.008882284,1.669517994,0.02874757,17.18341637
Neon,280,2500000,1.011112332,1.670189738,0.028788155,21.43189621
Neon,280,2760000,1.012273431,1.670532823,0.028809754,23.63367462
Neon,290,10000,1.000043392,1.666679144,0.029509673,0.083687618
Neon,290,20000,1.000086784,1.666691542,0.029510759,0.167367965
Neon,290,30000,1.000130177,1.666704059,0.029511718,0.251041055
Neon,290,40000,1.000173569,1.666716456,0.02951261,0.334706873
Neon,290,50000,1.00021708,1.666728854,0.029513463,0.418365449
