Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Nitrogen,270,10000,0.999951065,1.399928689,0.016512573,0.124791972
Nitrogen,270,20000,0.999902129,1.400137782,0.016515287,0.249596149
Nitrogen,270,30000,0.999853313,1.400346756,0.016517712,0.374412507
Nitrogen,270,40000,0.999804556,1.400555849,0.01651999,0.499241024
Nitrogen,270,50000,0.999755859,1.400764823,0.016522178,0.624081671
Nitrogen,270,60000,0.999707222,1.400973916,0.016524302,0.748934448
Nitrogen,270,70000,0.999658704,1.401183009,0.016526381,0.873799324
Nitrogen,270,80000,0.999610186,1.401391983,0.016528424,0.99867624
Nitrogen,270,90000,0.999561727,1.401601076,0.016530437,1.123565197
Nitrogen,270,100000,0.999513328,1.401810169,0.01653243,1.248466253
Nitrogen,270,500000,0.997631252,1.410173774,0.016608296,6.254107952
Nitrogen,270,1000000,0.995425463,1.420620084,0.016705766,12.53593254
Nitrogen,270,1500000,0.993385434,1.431038618,0.016808705,18.84251404
Nitrogen,270,2000000,0.991513789,1.441408157,0.016917093,25.17077827
Nitrogen,270,2500000,0.989812732,1.451707959,0.017030703,31.51754379
Nitrogen,270,3000000,0.988284469,1.461916566,0.017149324,37.87953949
Nitrogen,273.1499939,10000,0.999954998,1.399907947,0.016667306,0.123352371
Nitrogen,273.1499939,20000,0.999910057,1.400110364,0.01666999,0.246715829
Nitrogen,273.1499939,30000,0.999865234,1.400312662,0.016672388,0.370090336
Nitrogen,273.1499939,40000,0.999820411,1.40051496,0.016674642,0.493475914
Nitrogen,273.1499939,50000,0.999775648,1.400717378,0.016676804,0.616872489
Nitrogen,273.1499939,60000,0.999731004,1.400919676,0.016678903,0.740280092
Nitrogen,273.1499939,70000,0.99968636,1.401122093,0.016680958,0.863698661
Nitrogen,273.1499939,80000,0.999641776,1.401324391,0.016682975,0.987128139
Nitrogen,273.1499939,90000,0.999597311,1.40152669,0.016684966,1.110568643
Nitrogen,273.1499939,100000,0.999552906,1.401729107,0.016686935,1.234019995
Nitrogen,273.1499939,500000,0.997827172,1.409820318,0.016761852,6.180770874
Nitrogen,273.1499939,1000000,0.995812893,1.419917107,0.016858023,12.38654518
Nitrogen,273.1499939,1500000,0.993959665,1.429976821,0.016959524,18.61445999
Nitrogen,273.1499939,2000000,0.992269695,1.43998003,0.017066333,24.86155128
Nitrogen,273.1499939,2500000,0.990744948,1.449907422,0.017178228,31.1247654
Nitrogen,273.1499939,3000000,0.989387333,1.459739089,0.017294994,37.40097046
Nitrogen,280,10000,0.999962986,1.399859309,0.017000094,0.120333686
Nitrogen,280,20000,0.999926031,1.400048018,0.017002715,0.240676269
Nitrogen,280,30000,0.999889076,1.400236726,0.017005056,0.361027718
Nitrogen,280,40000,0.99985224,1.400425434,0.017007254,0.481388032
Nitrogen,280,50000,0.999815464,1.400614023,0.017009364,0.601757169
Nitrogen,280,60000,0.999778748,1.400802732,0.017011413,0.722135186
Nitrogen,280,70000,0.999742031,1.40099144,0.017013416,0.842521906
Nitrogen,280,80000,0.999705434,1.401180029,0.017015385,0.962917447
Nitrogen,280,90000,0.999668896,1.401368618,0.017017325,1.08332181
Nitrogen,280,100000,0.999632359,1.401557326,0.017019244,1.203734756
Nitrogen,280,500000,0.998221099,1.409093261,0.017092172,6.027183056
Nitrogen,280,1000000,0.996591449,1.418479443,0.017185628,12.07407761
Nitrogen,280,1500000,0.995112836,1.427812576,0.017284129,18.13802719
Nitrogen,280,2000000,0.993786991,1.43707633,0.017387655,24.21630287
Nitrogen,280,2500000,0.992615223,1.446253896,0.017495988,30.30611038
Nitrogen,280,3000000,0.991598904,1.455328941,0.017608915,36.40460587
Nitrogen,290,10000,0.999973178,1.399778128,0.017477056,0.116183057
Nitrogen,290,20000,0.999946415,1.399948835,0.017479591,0.232372344
Nitrogen,290,30000,0.999919713,1.400119543,0.017481854,0.348567814
Nitrogen,290,40000,0.999893069,1.400290132,0.017483979,0.464769483
Nitrogen,290,50000,0.999866486,1.400460839,0.017486015,0.580977321
