Fluid,Temperature_K,Pressure_PaA,Zfactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Acetylene,189.2556458,101325,0.97625041,1.341576815,0.006504417,1.717377782
Acetylene,194.2556458,134665.1406,0.970424414,1.342693448,0.006700028,2.237067699
Acetylene,199.2556458,176084.5,0.963688314,1.345092535,0.006898425,2.871661186
Acetylene,204.2556458,226836.3281,0.955987096,1.348943114,0.00709924,3.637858629
Acetylene,209.2556458,288248.7188,0.94726944,1.354439259,0.00730244,4.553821087
Acetylene,214.2556458,361717.5313,0.937487543,1.361810684,0.00750827,5.63937664
Acetylene,219.2556458,448699.4375,0.926595628,1.37133491,0.007717208,6.916299343
Acetylene,224.2556458,550705,0.914549351,1.383353949,0.007929949,8.408679008
Acetylene,229.2556458,669292.8125,0.901303887,1.398297668,0.008147395,10.1434145
Acetylene,234.2556458,806063.625,0.886812627,1.416715026,0.008370664,12.15085125
Acetylene,239.2556458,962655.5625,0.871025026,1.439319015,0.008601115,14.46563148
Acetylene,244.2556458,1140739,0.853884101,1.467052937,0.008840396,17.12781906
Acetylene,249.2556458,1342013.75,0.835323453,1.501188755,0.00909051,20.18443298
Acetylene,254.2556458,1568204.375,0.815263391,1.543480635,0.009353923,23.69154739
Acetylene,259.2556458,1821059,0.793605149,1.596410871,0.009633724,27.71727943
Acetylene,264.2556458,2102346,0.770223558,1.663603067,0.009933861,32.346138
Acetylene,269.2556458,2413853,0.744955599,1.750545621,0.01025952,37.6855545
Acetylene,274.2556458,2757384.5,0.717582762,1.865944028,0.010617727,43.87620544
Acetylene,279.2556458,3134762.75,0.687802672,2.024429083,0.011018375,51.1090889
Acetylene,284.2556458,3547825.5,0.655178607,2.252520084,0.011476097,59.65581131
Acetylene,289.2556458,3998434,0.619042099,2.603479385,0.01201399,69.92736816
Acetylene,294.2556458,4488449.5,0.578291476,3.201172829,0.012671918,82.60076141
Acetylene,296.6890259,4741762,0.556235969,3.668865204,0.013056454,89.97843933
Acetylene,299.0317383,4995074.5,0.533182919,4.32956934,0.013484279,98.10875702
Acetylene,300.1715393,5121731,0.521171987,4.771588802,0.013719114,102.5239792
Acetylene,301.2915039,5248387,0.508760989,5.323603153,0.013971374,107.2221298
Acetylene,302.3924561,5375043,0.495875299,6.029371262,0.0142446,112.2529678
Acetylene,303.4751282,5501699.5,0.482423186,6.957520008,0.014543442,117.6805954
Acetylene,304.0098572,5565027.5,0.475450337,7.537525177,0.014704338,120.5684814
Acetylene,304.5402832,5628356,0.468291879,8.220129967,0.014874133,123.5888977
Acetylene,305.0664978,5691683.5,0.460930884,9.031722069,0.015053953,126.7563553
Acetylene,305.588562,5755011.5,0.45334968,10.00707436,0.015245115,130.0873566
Ammonia,240.3740997,101325,0.985526204,1.334668398,0.008213907,0.876095593
Ammonia,245.3740997,129419.2578,0.982455075,1.336992741,0.008394458,1.099634171
Ammonia,250.3740997,163490.6719,0.978940845,1.339865804,0.008576334,1.366274118
Ammonia,255.3740997,204416.1094,0.974952757,1.343359113,0.008759493,1.68168807
Ammonia,260.3740845,253137.9063,0.970460951,1.347551584,0.008943927,2.051975012
Ammonia,265.3740845,310662.0313,0.965436697,1.352530956,0.009129656,2.483685255
Ammonia,270.3740845,378056.4375,0.959852338,1.358395934,0.009316729,2.983856201
Ammonia,275.3740845,456448.8438,0.953680992,1.365258455,0.00950522,3.560054541
