FluidCategory,Fluid,Active,LookupMethod,EnglishUS,French,German,Spanish,Russian
2,Acetylene,TRUE,1,,,,,
2,Air,TRUE,1,,,,,
2,Ammonia,TRUE,1,,,,,
2,Argon,TRUE,1,,,,,
2,Butane,TRUE,1,,,,,
2,Butene,TRUE,1,,,,,
2,Carbon Dioxide,TRUE,1,,,,,
2,Carbon Monoxide,TRUE,1,,,,,
2,Chlorine,TRUE,1,,,,,
2,Ethane,TRUE,1,,,,,
2,Ethylene,TRUE,1,,,,,
2,Helium,TRUE,1,,,,,
2,Hydrogen,TRUE,1,,,,,
2,Methane,TRUE,1,,,,,
2,Neon,TRUE,1,,,,,
2,Nitrogen,TRUE,1,,,,,
2,Oxygen,TRUE,1,,,,,
2,Propane,TRUE,1,,,,,
2,Propene,TRUE,1,,,,,
2,Other gas (specify below),TRUE,20,,,,,
2,Mixture of Gases,TRUE,30,,,,,
1,Water,TRUE,10,,,,,
1,Other liquid (specify below),TRUE,20,,,,,
5,Gas/Liquid mixture (specify below),TRUE,40,,,,,
3,Steam (Saturated),TRUE,11,,,,,
4,Steam (Superheated),TRUE,12,,,,,
