NominalBore_in,OutsideDia_mm,OutsideDia_in,5S_mm,5S_in,5_mm,5_in,10S_mm,10S_in,10_mm,10_in,20_mm,20_in,30_mm,30_in,40S_mm,40S_in,STD_mm,STD_in,40_mm,40_in,60_mm,60_in,80S_mm,80S_in,XS_mm,XS_in,80_mm,80_in,100_mm,100_in,120_mm,120_in,140_mm,140_in,160_mm,160_in,XXS_mm,XXS_in
"½""",21.3,0.84,18,0.71,18,0.71,17.1,0.674,17.1,0.674,,,,,15.8,0.622,15.8,0.622,15.8,0.622,,,13.9,0.546,13.9,0.546,13.9,0.546,,,,,,,11.8,0.464,6.4,0.252
"¾""",26.7,1.05,23.4,0.92,23.4,0.92,22.5,0.884,22.5,0.884,,,,,20.9,0.824,20.9,0.824,20.9,0.824,,,18.9,0.742,18.9,0.742,18.9,0.742,,,,,,,15.6,0.612,11,0.434
"1""",33.4,1.315,30.1,1.185,30.1,1.185,27.9,1.097,27.9,1.097,,,,,26.6,1.049,26.6,1.049,26.6,1.049,,,24.3,0.957,24.3,0.957,24.3,0.957,,,,,,,20.7,0.815,15.2,0.599
"1¼""",42.2,1.66,38.9,1.53,38.9,1.53,36.6,1.442,36.6,1.442,,,,,35,1.38,35,1.38,35,1.38,,,32.5,1.278,32.5,1.278,32.5,1.278,,,,,,,29.5,1.16,22.8,0.896
"1½""",48.3,1.9,45,1.77,45,1.77,42.7,1.682,42.7,1.682,,,,,40.9,1.61,40.9,1.61,40.9,1.61,,,38.1,1.5,38.1,1.5,38.1,1.5,,,,,,,34,1.338,28,1.101
"2""",60.3,2.375,57,2.245,57,2.245,54.8,2.157,54.8,2.157,,,,,52.5,2.067,52.5,2.067,52.5,2.067,,,49.2,1.939,49.2,1.939,49.2,1.939,,,,,,,42.9,1.687,38.2,1.503
"2½""",73,2.875,68.8,2.709,68.8,2.709,66.9,2.635,66.9,2.635,,,,,62.7,2.469,62.7,2.469,62.7,2.469,,,59,2.323,59,2.323,59,2.323,,,,,,,54,2.125,45,1.771
"3""",88.9,3.5,84.7,3.334,84.7,3.334,82.8,3.26,82.8,3.26,,,,,77.9,3.068,77.9,3.068,77.9,3.068,,,73.7,2.9,73.7,2.9,73.7,2.9,,,,,,,66.6,2.624,58.4,2.3
"3½""",101.6,4,97.4,3.834,97.4,3.834,95.5,3.76,95.5,3.76,,,,,90.1,3.548,90.1,3.548,90.1,3.548,,,85.4,3.364,85.4,3.364,85.4,3.364,,,,,,,,,69.3,2.728
"4""",114.3,4.5,110.1,4.334,110.1,4.334,108.2,4.26,108.2,4.26,,,,,102.3,4.026,102.3,4.026,102.3,4.026,,,97.2,3.826,97.2,3.826,97.2,3.826,,,92,3.624,,,87.3,3.438,80.1,3.152
