Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Argon,270,10000,0.999899685,1.667034388,0.021214996,0.177966461
Argon,270,20000,0.99979949,1.667402148,0.021218453,0.355968624
Argon,270,30000,0.999699235,1.667770028,0.021221524,0.534006476
Argon,270,40000,0.999599099,1.668138027,0.021224398,0.712079942
Argon,270,50000,0.999498963,1.668506265,0.021227147,0.890189111
Argon,270,60000,0.999398887,1.668874502,0.021229813,1.068333864
Argon,270,70000,0.999298811,1.669242978,0.021232413,1.24651432
Argon,270,80000,0.999198794,1.669611454,0.021234965,1.42473042
Argon,270,90000,0.999098837,1.669980168,0.02123748,1.602982163
Argon,270,100000,0.99899888,1.670348883,0.021239961,1.781269431
Argon,270,500000,0.99503392,1.685199976,0.021333244,8.941837311
Argon,270,1000000,0.990169168,1.704027414,0.021451831,17.97153664
Argon,270,1500000,0.985410452,1.72312963,0.021576682,27.08748817
Argon,270,2000000,0.980762184,1.742484212,0.021708133,36.28782272
Argon,270,2500000,0.976229131,1.762066364,0.021846142,45.57040405
Argon,270,3000000,0.971815944,1.781848431,0.02199062,54.93281555
Argon,270,3500000,0.96752727,1.801799893,0.022141486,64.37236023
Argon,270,4000000,0.96336782,1.821887732,0.022298675,73.88605499
Argon,270,4500000,0.95934236,1.842076182,0.022462135,83.47059631
Argon,273.1499939,10000,0.999904573,1.667023301,0.02142043,0.175913289
Argon,273.1499939,20000,0.999809146,1.667380095,0.021423848,0.351860136
Argon,273.1499939,30000,0.999713778,1.667737007,0.021426884,0.527840555
Argon,273.1499939,40000,0.999618411,1.668094039,0.021429725,0.703854561
Argon,273.1499939,50000,0.999523163,1.66845119,0.021432443,0.879902065
Argon,273.1499939,60000,0.999427855,1.66880846,0.021435076,1.055983067
Argon,273.1499939,70000,0.999332666,1.66916573,0.021437647,1.232097626
Argon,273.1499939,80000,0.999237478,1.669523239,0.021440169,1.408245683
Argon,273.1499939,90000,0.999142349,1.669880748,0.021442652,1.584427357
Argon,273.1499939,100000,0.99904722,1.670238495,0.021445103,1.760642409
Argon,273.1499939,500000,0.995275497,1.684634447,0.021537211,8.836572647
Argon,273.1499939,1000000,0.990651727,1.702863097,0.021654209,17.75563431
