Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Chlorine,239.6992493,101325,0.979923904,1.361519933,0.01095142,3.678780794
Chlorine,249.6992493,101325,0.981945574,1.356145024,0.011351922,3.524181604
Chlorine,249.6992493,154374.9688,0.972252369,1.366986632,0.011379295,5.422842026
Chlorine,259.6992493,101325,0.983707249,1.351280212,0.011778644,3.382410765
Chlorine,259.6992493,154374.9688,0.974984288,1.360992789,0.011806226,5.199419975
Chlorine,259.6992493,226998.4688,0.962812066,1.375169158,0.011841491,7.742069244
Chlorine,269.6992493,101325,0.985250533,1.346864104,0.012220305,3.251894951
Chlorine,269.6992493,154374.9688,0.977372944,1.355612159,0.012247979,4.994398117
Chlorine,269.6992493,226998.4688,0.96640408,1.368295789,0.012283427,7.427296638
Chlorine,269.6992493,323574.3125,0.951464295,1.386580348,0.012328503,10.75345707
Chlorine,279.6992493,101325,0.986608982,1.342844367,0.01266929,3.131313801
Chlorine,279.6992493,154374.9688,0.979471982,1.35076201,0.012696956,4.805514336
Chlorine,279.6992493,226998.4688,0.969552994,1.362175584,0.012732456,7.138491154
Chlorine,279.6992493,323574.3125,0.956080079,1.378490567,0.012777636,10.31893253
Chlorine,279.6992493,448808.375,0.938087761,1.401868939,0.012834889,14.58721924
Chlorine,289.6992493,101325,0.987809956,1.339176178,0.013120556,3.019549608
Chlorine,289.6992493,154374.9688,0.98132509,1.346373796,0.013148134,4.63087368
Chlorine,289.6992493,226998.4688,0.972327113,1.35669744,0.013183573,6.872416973
Chlorine,289.6992493,323574.3125,0.960134029,1.37134707,0.013228714,9.920672417
Chlorine,289.6992493,448808.375,0.943906844,1.392116904,0.013285903,13.99686527
Chlorine,299.6992493,101325,0.988876104,1.335820913,0.013570858,2.915650129
Chlorine,299.6992493,154374.9688,0.982968092,1.342390299,0.01359828,4.468874454
Chlorine,299.6992493,226998.4688,0.974782169,1.351771474,0.013633568,6.626375198
Chlorine,299.6992493,323574.3125,0.963712335,1.364999294,0.013678551,9.554044724
Chlorine,299.6992493,448808.375,0.949023366,1.38358283,0.013735532,13.45689011
Chlorine,299.6992493,607680.5,0.929795146,1.409862876,0.013807533,18.59724998
Chlorine,299.6992493,805395.25,0.904818177,1.447763562,0.013898752,25.32843781
Chlorine,309.6992493,101325,0.989826143,1.332745075,0.014018201,2.81879735
Chlorine,309.6992493,154374.9688,0.984430492,1.338763118,0.014045413,4.318152428
Chlorine,309.6992493,226998.4688,0.976963937,1.347323418,0.014080474,6.398093224
Chlorine,309.6992493,323574.3125,0.966884971,1.359327197,0.0141252,9.215212822
Chlorine,309.6992493,448808.375,0.953545034,1.376057982,0.014181851,12.96062469
Chlorine,309.6992493,607680.5,0.936146557,1.399450541,0.01425335,17.87465286
Chlorine,309.6992493,805395.25,0.91366756,1.432628751,0.014343656,24.27319717
Chlorine,309.6992493,1047339.25,0.88471663,1.481092453,0.014458492,32.59788132
Chlorine,319.6992493,101325,0.990675688,1.329919577,0.014461457,2.728285551
Chlorine,319.6992493,154374.9688,0.985737026,1.335450888,0.014488415,4.177539349
Chlorine,319.6992493,226998.4688,0.978910327,1.343291998,0.014523188,6.185641289
Chlorine,319.6992493,323574.3125,0.969709635,1.354233742,0.014567574,8.900963783
Chlorine,319.6992493,448808.375,0.957559228,1.369379282,0.014623797,12.50259018
Chlorine,319.6992493,607680.5,0.941762269,1.39034915,0.014694684,17.21229172
Chlorine,319.6992493,805395.25,0.921444952,1.419674516,0.014783996,23.31547928
Chlorine,319.6992493,1047339.25,0.895453751,1.461621165,0.014897014,31.19959259
Chlorine,319.6992493,1339045.375,0.862151206,1.524125338,0.015041719,41.43015289
Chlorine,329.6992493,101325,0.991437852,1.327318549,0.014900086,2.643501043
Chlorine,329.6992493,154374.9688,0.986908078,1.332418203,0.014926754,4.046024799
Chlorine,329.6992493,226998.4688,0.980652809,1.339625597,0.014961189,5.987368584
Chlorine,329.6992493,323574.3125,0.972234011,1.349639535,0.01500517,8.608580589
Chlorine,329.6992493,448808.375,0.961137891,1.363417268,0.015060881,12.07823944
Chlorine,329.6992493,607680.5,0.946751058,1.382331729,0.015131068,16.60228539
Chlorine,329.6992493,805395.25,0.928319216,1.408465505,0.015219317,22.44089127
Chlorine,329.6992493,1047339.25,0.904872417,1.445197344,0.015330544,29.93838692
Chlorine,329.6992493,1339045.375,0.875084817,1.498494506,0.015471928,39.57979202
Chlorine,329.6992493,1686163.375,0.836979866,1.58018744,0.015654882,52.10902786
Chlorine,339.6992493,101325,0.992123783,1.324919701,0.01533394,2.563908339
Chlorine,339.6992493,154374.9688,0.987961173,1.329634905,0.015360292,3.92273283
Chlorine,339.6992493,226998.4688,0.982218027,1.336280704,0.015394349,5.801853657
Chlorine,339.6992493,323574.3125,0.974497974,1.34547925,0.015437871,8.335752487
Chlorine,339.6992493,448808.375,0.964340389,1.358067513,0.015493005,11.68375206
Chlorine,339.6992493,607680.5,0.951201975,1.375221372,0.015562418,16.03815079
Chlorine,339.6992493,805395.25,0.934425771,1.398676991,0.015649544,21.63794327
