Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Ethylene,270,10000,0.99922663,1.260841489,0.009609107,0.125059873
Ethylene,270,20000,0.998452485,1.26160419,0.009613814,0.250313669
Ethylene,270,30000,0.997677505,1.262370348,0.009618013,0.375762165
Ethylene,270,40000,0.996901751,1.263139725,0.009621956,0.501406074
Ethylene,270,50000,0.996125221,1.263912678,0.009625738,0.627246201
Ethylene,270,60000,0.995347857,1.264688969,0.009629411,0.753283322
Ethylene,270,70000,0.994569719,1.265468836,0.009633003,0.879518151
Ethylene,270,80000,0.993790746,1.26625216,0.009636533,1.005951405
Ethylene,270,90000,0.993010938,1.267038941,0.009640017,1.132584095
Ethylene,270,100000,0.992230356,1.267829299,0.009643461,1.259416699
Ethylene,270,500000,0.960301936,1.302644014,0.009776756,6.50645113
Ethylene,270,1000000,0.91819948,1.35719645,0.009958651,13.60958672
Ethylene,270,1500000,0.873087406,1.429697514,0.010169681,21.46918297
Ethylene,270,2000000,0.824053168,1.531029582,0.010420987,30.32890511
Ethylene,270,2500000,0.769599378,1.683672309,0.010730433,40.59357452
Ethylene,270,3000000,0.706926823,1.943938017,0.011132568,53.03087234
Ethylene,270,3500000,0.629414439,2.513818026,0.01171305,69.48856354
Ethylene,273.1499939,10000,0.999252796,1.258587956,0.009717915,0.123614423
Ethylene,273.1499939,20000,0.998504937,1.259323955,0.00972257,0.247414038
Ethylene,273.1499939,30000,0.997756302,1.260063171,0.009726725,0.371399492
Ethylene,273.1499939,40000,0.997006953,1.260805607,0.009730624,0.495571554
Ethylene,273.1499939,50000,0.996256828,1.261551142,0.009734366,0.619930804
Ethylene,273.1499939,60000,0.995505989,1.262299895,0.009737999,0.744478047
Ethylene,273.1499939,70000,0.994754434,1.263051867,0.009741552,0.869213998
Ethylene,273.1499939,80000,0.994002104,1.263807178,0.009745046,0.994139254
Ethylene,273.1499939,90000,0.993249059,1.264565587,0.009748491,1.119254589
Ethylene,273.1499939,100000,0.992495239,1.265327454,0.009751898,1.244560719
Ethylene,273.1499939,500000,0.961698294,1.298761606,0.009883689,6.42208004
Ethylene,273.1499939,1000000,0.921209633,1.350661278,0.010063059,13.40868187
Ethylene,273.1499939,1500000,0.87801826,1.418686032,0.010270169,21.1024189
Ethylene,273.1499939,2000000,0.831366301,1.511882663,0.010514973,29.71543694
Ethylene,273.1499939,2500000,0.780055821,1.647983313,0.010812785,39.58757019
Ethylene,273.1499939,3000000,0.721978366,1.867745638,0.011191541,51.32649612
Ethylene,273.1499939,3500000,0.652686536,2.294141531,0.011713094,66.2381134
Ethylene,273.1499939,4000000,0.558315754,3.622524977,0.012582703,88.49620056
Ethylene,280,10000,0.999306262,1.25373292,0.009954481,0.12058384
Ethylene,280,20000,0.998611867,1.254414916,0.009959027,0.241335377
Ethylene,280,30000,0.997916937,1.255099535,0.009963085,0.362255156
Ethylene,280,40000,0.997221351,1.255786777,0.009966894,0.48334378
Ethylene,280,50000,0.996525168,1.256476879,0.009970549,0.6046018
Ethylene,280,60000,0.99582839,1.257169604,0.009974099,0.726029813
Ethylene,280,70000,0.995130956,1.257865191,0.009977571,0.847628415
Ethylene,280,80000,0.994432986,1.258563519,0.009980983,0.969398141
Ethylene,280,90000,0.99373436,1.259264708,0.009984349,1.091339588
Ethylene,280,100000,0.993035078,1.259968638,0.009987678,1.213453412
Ethylene,280,500000,0.964533985,1.290636659,0.010116276,6.246549606
Ethylene,280,1000000,0.927288294,1.337359428,0.010290384,12.9949007
Ethylene,280,1500000,0.887898386,1.396963239,0.010489554,20.35709
Ethylene,280,2000000,0.845855296,1.475606203,0.01072167,28.49191475
Ethylene,280,2500000,0.800409794,1.584241152,0.010997946,37.63702774
Ethylene,280,3000000,0.750375807,1.744567752,0.011336854,48.17593384
Ethylene,280,3500000,0.693660915,2.007125616,0.01177277,60.80069351
Ethylene,280,4000000,0.625842392,2.527012348,0.012383263,77.01631927
Ethylene,290,10000,0.999376357,1.246783972,0.010299592,0.116417609
Ethylene,290,20000,0.998752296,1.247395277,0.010303986,0.232980698
Ethylene,290,30000,0.998127759,1.248008609,0.010307909,0.349689722
Ethylene,290,40000,0.997502804,1.248624206,0.010311592,0.466545105
Ethylene,290,50000,0.996877313,1.249242067,0.010315127,0.583547235
Ethylene,290,60000,0.996251404,1.249862075,0.010318559,0.700696647
Ethylene,290,70000,0.995625019,1.250484228,0.010321916,0.81799376
Ethylene,290,80000,0.994998217,1.251108646,0.010325216,0.935438931
Ethylene,290,90000,0.994370878,1.25173533,0.010328471,1.053032756
Ethylene,290,100000,0.993743122,1.252364159,0.010331689,1.170775533
Ethylene,290,500000,0.968233228,1.27950263,0.010455824,6.008108616
Ethylene,290,1000000,0.93515116,1.319876432,0.010622757,12.44130516
Ethylene,290,1500000,0.900535405,1.369697332,0.010811539,19.37930489
Ethylene,290,2000000,0.864100218,1.432600498,0.011027928,26.92859077
Ethylene,290,2500000,0.825459361,1.514368534,0.01127936,35.23644257
Ethylene,290,3000000,0.784068942,1.624799132,0.011576819,44.51586151
Ethylene,290,3500000,0.739121079,1.781937361,0.011937735,55.09348297
Ethylene,290,4000000,0.689324081,2.023091078,0.012392262,67.51251221
Ethylene,290,4500000,0.632380188,2.439815044,0.012999589,82.79078674
Ethylene,300,10000,0.999438405,1.240033627,0.010644179,0.112530038
Ethylene,300,20000,0.998876452,1.240582943,0.01064843,0.225186691
Ethylene,300,30000,0.998314202,1.241133928,0.010652225,0.337970287
Ethylene,300,40000,0.997751594,1.241686821,0.010655789,0.450881124
Ethylene,300,50000,0.997188568,1.242241383,0.010659209,0.563919604
Ethylene,300,60000,0.996625245,1.242797732,0.01066253,0.677085996
Ethylene,300,70000,0.996061623,1.24335587,0.010665777,0.790380716
Ethylene,300,80000,0.995497584,1.243915796,0.01066897,0.903804004
Ethylene,300,90000,0.994933188,1.24447751,0.010672119,1.017356277
Ethylene,300,100000,0.994368494,1.245041013,0.010675233,1.131037831
Ethylene,300,500000,0.971482337,1.269157171,0.01079513,5.788414001
Ethylene,300,1000000,0.941997588,1.30431354,0.010955419,11.93918514
Ethylene,300,1500000,0.911417544,1.346522331,0.011134972,18.50965691
Ethylene,300,2000000,0.879583716,1.397998452,0.011338096,25.57274246
Ethylene,300,2500000,0.846296966,1.461969972,0.011569915,33.22322083
Ethylene,300,3000000,0.811301947,1.543319345,0.011837418,41.58753967
Ethylene,300,3500000,0.774263561,1.649761915,0.012150607,50.83978653
Ethylene,300,4000000,0.73473078,1.794154167,0.012524433,61.22887421
Ethylene,300,4500000,0.692080259,1.999326468,0.012982436,73.12746429
Ethylene,300,5000000,0.645435393,2.308897734,0.013564195,87.12478638
Ethylene,320,10000,0.999542475,1.227233768,0.011330521,0.105485931
Ethylene,320,20000,0.999084711,1.227680683,0.011334508,0.211068511
Ethylene,320,30000,0.998626769,1.22812891,0.011338068,0.316747963
Ethylene,320,40000,0.998168647,1.22857821,0.011341411,0.422524452
Ethylene,320,50000,0.997710347,1.229028702,0.011344618,0.528398156
Ethylene,320,60000,0.997251868,1.229480267,0.011347732,0.634369314
Ethylene,320,70000,0.996793151,1.229933143,0.011350777,0.740438104
Ethylene,320,80000,0.996334314,1.230387092,0.011353771,0.846604705
Ethylene,320,90000,0.995875239,1.230842233,0.011356723,0.952869356
Ethylene,320,100000,0.995415986,1.231298447,0.011359643,1.059232235
Ethylene,320,500000,0.976886749,1.250562668,0.011471706,5.396616459
Ethylene,320,1000000,0.953269422,1.277743816,0.011620066,11.06063557
Ethylene,320,1500000,0.929110527,1.309023499,0.011783805,17.02235413
Ethylene,320,2000000,0.904369056,1.345279455,0.011965479,23.31739616
Ethylene,320,2500000,0.879000843,1.387634397,0.012167709,29.98792839
Ethylene,320,3000000,0.852959454,1.437538385,0.012393702,37.08417511
Ethylene,320,3500000,0.826197624,1.496876597,0.012647503,44.66629028
Ethylene,320,4000000,0.798671007,1.568110466,0.012934271,52.80655289
Ethylene,320,4500000,0.770345092,1.654444814,0.013260631,61.59181213
Ethylene,320,5000000,0.741207898,1.75998652,0.013635124,71.12556458
Ethylene,340,10000,0.999625385,1.21546185,0.012010834,0.099272639
Ethylene,340,20000,0.99925065,1.215829253,0.012014586,0.198619723
Ethylene,340,30000,0.998875856,1.216197371,0.012017935,0.298041373
Ethylene,340,40000,0.998500943,1.216566205,0.012021079,0.397537708
Ethylene,340,50000,0.99812597,1.216935873,0.012024094,0.497108847
Ethylene,340,60000,0.997750878,1.217306256,0.012027022,0.596754849
Ethylene,340,70000,0.997375727,1.217677474,0.012029886,0.696475863
Ethylene,340,80000,0.997000456,1.218049407,0.0120327,0.796272039
Ethylene,340,90000,0.996625066,1.218422174,0.012035474,0.896143436
Ethylene,340,100000,0.996249616,1.218795657,0.012038219,0.996090174
Ethylene,340,500000,0.981155097,1.234398365,0.012143233,5.057072163
Ethylene,340,1000000,0.962075353,1.255873442,0.012281174,10.31472683
Ethylene,340,1500000,0.942757666,1.279834628,0.01243174,15.78912354
Ethylene,340,2000000,0.923201144,1.306647539,0.01259654,21.49811935
Ethylene,340,2500000,0.90340817,1.336737156,0.012776998,27.46141052
Ethylene,340,3000000,0.883385301,1.370594501,0.012974729,33.70062256
Ethylene,340,3500000,0.863145411,1.408780456,0.013191628,40.23934555
Ethylene,340,4000000,0.842709959,1.451925874,0.013429924,47.10301208
Ethylene,340,4500000,0.822111964,1.500719547,0.013692217,54.31857681
Ethylene,340,5000000,0.801400363,1.555877805,0.013981508,61.9137764
Ethylene,360,10000,0.999692202,1.20474577,0.012682518,0.093751222
Ethylene,360,20000,0.999384403,1.205050468,0.012686059,0.187560201
Ethylene,360,30000,0.999076545,1.205355763,0.012689218,0.281426996
Ethylene,360,40000,0.998768628,1.205661535,0.012692182,0.375351667
Ethylene,360,50000,0.99846071,1.205967784,0.012695027,0.469334275
Ethylene,360,60000,0.998152792,1.206274509,0.012697787,0.563374877
Ethylene,360,70000,0.997844756,1.206581831,0.012700485,0.657473564
Ethylene,360,80000,0.997536778,1.206889629,0.012703137,0.751630366
Ethylene,360,90000,0.997228682,1.207198024,0.012705752,0.845845401
Ethylene,360,100000,0.996920645,1.207506895,0.012708337,0.94011867
Ethylene,360,500000,0.984570324,1.22030127,0.012807005,4.75955677
Ethylene,360,1000000,0.969063342,1.237574816,0.012935766,9.671438217
Ethylene,360,1500000,0.953488052,1.256404757,0.013075115,14.74413395
Ethylene,360,2000000,0.937855899,1.276945353,0.013226117,19.98651695
Ethylene,360,2500000,0.922181547,1.299361706,0.01338956,25.40778542
Ethylene,360,3000000,0.906483412,1.323827028,0.013566291,31.01734734
Ethylene,360,3600000,0.887646616,1.356140614,0.01379725,38.01068115
Ethylene,360,4000000,0.875112176,1.379614115,0.013963524,42.83901978
Ethylene,360,4500000,0.859501898,1.411274552,0.014186276,49.06919479
Ethylene,360,5000000,0.843995333,1.445636868,0.014426799,55.52303314
Ethylene,380,10000,0.999746621,1.195050478,0.013343312,0.088812113
Ethylene,380,20000,0.999493182,1.195305467,0.013346663,0.177669257
Ethylene,380,30000,0.999239802,1.195560813,0.013349651,0.266571492
Ethylene,380,40000,0.998986423,1.195816517,0.013352455,0.355518788
Ethylene,380,50000,0.998733044,1.196072578,0.013355143,0.444511235
Ethylene,380,60000,0.998479605,1.196328998,0.013357752,0.533548832
