Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Hydrogen,270,10000,1.000061035,1.411085844,0.00825513,0.008979292
Hydrogen,270,20000,1.00012207,1.411102533,0.008255399,0.017957486
Hydrogen,270,30000,1.000183105,1.411119223,0.00825564,0.026934586
Hydrogen,270,40000,1.000244141,1.411135912,0.008255867,0.035910591
Hydrogen,270,50000,1.000305176,1.411152482,0.008256085,0.044885498
Hydrogen,270,60000,1.000366211,1.411169171,0.008256298,0.053859308
Hydrogen,270,70000,1.000427365,1.411185741,0.008256506,0.06283202
Hydrogen,270,80000,1.0004884,1.411202431,0.00825671,0.071803644
Hydrogen,270,90000,1.000549555,1.411219001,0.008256912,0.080774166
Hydrogen,270,100000,1.00061059,1.411235571,0.008257112,0.089743592
Hydrogen,270,500000,1.003062606,1.41189003,0.008264778,0.447621077
Hydrogen,270,1000000,1.006148458,1.412682652,0.008274673,0.892496467
Hydrogen,273.1499939,10000,1.000060558,1.410341263,0.008336473,0.008875744
Hydrogen,273.1499939,20000,1.000121236,1.410357237,0.00833674,0.017750414
Hydrogen,273.1499939,30000,1.000181913,1.410373211,0.008336979,0.026624005
Hydrogen,273.1499939,40000,1.000242472,1.410389185,0.008337203,0.035496522
Hydrogen,273.1499939,50000,1.000303149,1.410405159,0.008337419,0.044367962
Hydrogen,273.1499939,60000,1.000363827,1.410421133,0.008337629,0.053238325
Hydrogen,273.1499939,70000,1.000424504,1.410437107,0.008337835,0.062107615
Hydrogen,273.1499939,80000,1.000485182,1.410452962,0.008338037,0.070975825
Hydrogen,273.1499939,90000,1.000545859,1.410468936,0.008338237,0.079842962
Hydrogen,273.1499939,100000,1.000606537,1.410484791,0.008338435,0.088709019
Hydrogen,273.1499939,500000,1.003041863,1.411111832,0.008346003,0.442468226
Hydrogen,273.1499939,1000000,1.006106138,1.411871314,0.008355765,0.882241189
Hydrogen,280,10000,1.000059724,1.408837318,0.008510742,0.008658613
Hydrogen,280,20000,1.000119448,1.408851981,0.008511003,0.017316192
Hydrogen,280,30000,1.000179172,1.408866525,0.008511237,0.025972737
Hydrogen,280,40000,1.000238895,1.408881068,0.008511457,0.03462825
Hydrogen,280,50000,1.000298738,1.408895612,0.008511667,0.043282725
Hydrogen,280,60000,1.000358462,1.408910155,0.008511872,0.051936164
Hydrogen,280,70000,1.000418305,1.408924699,0.008512073,0.060588572
Hydrogen,280,80000,1.000478029,1.408939123,0.00851227,0.069239944
Hydrogen,280,90000,1.000537872,1.408953667,0.008512465,0.077890284
Hydrogen,280,100000,1.000597596,1.408968091,0.008512657,0.086539589
Hydrogen,280,500000,1.002996683,1.4095397,0.008520026,0.431663007
Hydrogen,280,1000000,1.006014109,1.410232067,0.008529507,0.860736549
Hydrogen,290,10000,1.000058413,1.406905055,0.0087585,0.008360052
Hydrogen,290,20000,1.000116825,1.406917691,0.008758753,0.016719125
Hydrogen,290,30000,1.000175357,1.406930447,0.008758979,0.025077224
Hydrogen,290,40000,1.000233769,1.406943202,0.008759191,0.033434343
Hydrogen,290,50000,1.000292182,1.406955957,0.008759395,0.041790489
Hydrogen,290,60000,1.000350714,1.406968594,0.008759594,0.050145656
Hydrogen,290,70000,1.000409126,1.406981349,0.008759787,0.058499843
Hydrogen,290,80000,1.000467658,1.406993985,0.008759978,0.066853054
Hydrogen,290,90000,1.00052619,1.407006621,0.008760166,0.075205289
Hydrogen,290,100000,1.000584602,1.407019377,0.008760353,0.083556548
Hydrogen,290,500000,1.00293076,1.407518864,0.008767445,0.416805446
Hydrogen,290,1000000,1.005880237,1.40812397,0.008776546,0.831166565
Hydrogen,300,10000,1.000057101,1.405254006,0.008998134,0.008081393
Hydrogen,300,20000,1.000114322,1.405265212,0.00899838,0.016161863
Hydrogen,300,30000,1.000171423,1.405276299,0.0089986,0.02424141
Hydrogen,300,40000,1.000228643,1.405287385,0.008998806,0.032320034
Hydrogen,300,50000,1.000285745,1.405298471,0.008999003,0.040397733
Hydrogen,300,60000,1.000342965,1.405309558,0.008999195,0.048474506
Hydrogen,300,70000,1.000400186,1.405320764,0.008999383,0.056550357
Hydrogen,300,80000,1.000457287,1.40533185,0.008999567,0.064625286
Hydrogen,300,90000,1.000514507,1.405342817,0.008999749,0.072699293
Hydrogen,300,100000,1.000571728,1.405353904,0.008999929,0.08077237
Hydrogen,300,500000,1.002865434,1.405790567,0.009006766,0.402938157
Hydrogen,300,1000000,1.005747795,1.406319618,0.009015515,0.803566813
Hydrogen,320,10000,1.000054598,1.402667046,0.009452595,0.007576325
Hydrogen,320,20000,1.000109196,1.402675509,0.009452828,0.015151823
Hydrogen,320,30000,1.000163913,1.402683973,0.009453035,0.022726493
Hydrogen,320,40000,1.000218511,1.402692437,0.00945323,0.030300336
Hydrogen,320,50000,1.000273108,1.40270102,0.009453416,0.03787335
Hydrogen,320,60000,1.000327826,1.402709484,0.009453596,0.045445539
Hydrogen,320,70000,1.000382423,1.402717948,0.009453773,0.053016897
Hydrogen,320,80000,1.00043714,1.402726412,0.009453946,0.060587432
Hydrogen,320,90000,1.000491738,1.402734756,0.009454116,0.068157136
Hydrogen,320,100000,1.000546455,1.40274322,0.009454285,0.07572601
Hydrogen,320,500000,1.00273788,1.403076291,0.009460663,0.377802581
Hydrogen,320,1000000,1.005489707,1.403479457,0.009468782,0.753537178
Hydrogen,340,10000,1.000052214,1.400842309,0.009874426,0.007130676
Hydrogen,340,20000,1.000104427,1.400848746,0.009874647,0.014260609
Hydrogen,340,30000,1.000156641,1.400855184,0.009874842,0.021389795
