Fluid,Temperature_K,Pressure_PaA,ZFactor,IsentropicIndex,Viscosity_cP,Density_kgm3
Oxygen,270,10000,0.999898195,1.397212744,0.018901173,0.142553359
Oxygen,270,20000,0.99979645,1.397455931,0.018904343,0.285135746
Oxygen,270,30000,0.999694765,1.397699118,0.01890715,0.42774713
Oxygen,270,40000,0.999593079,1.397942424,0.018909773,0.570387542
Oxygen,270,50000,0.999491453,1.39818573,0.018912278,0.713056922
Oxygen,270,60000,0.999389827,1.398429275,0.018914705,0.85575527
Oxygen,270,70000,0.999288261,1.398672819,0.018917069,0.998482645
Oxygen,270,80000,0.999186754,1.398916483,0.018919388,1.141238928
Oxygen,270,90000,0.999085248,1.399160266,0.018921671,1.284024239
Oxygen,270,100000,0.9989838,1.399404168,0.018923923,1.426838517
Oxygen,270,500000,0.994957745,1.409238696,0.019007985,7.163061142
Oxygen,270,1000000,0.990014911,1.421744347,0.019114073,14.39764786
Oxygen,270,1500000,0.985176086,1.434475899,0.01922529,21.70254517
Oxygen,270,2000000,0.980445921,1.447420835,0.019342044,29.07633209
Oxygen,270,2500000,0.975829065,1.460564494,0.019464348,36.51737213
Oxygen,270,3000000,0.971330225,1.473890424,0.019592153,44.02380753
Oxygen,270,3500000,0.966954172,1.487380147,0.019725408,51.59355164
Oxygen,270,4000000,0.962705672,1.501013517,0.019864071,59.22426987
Oxygen,270,4500000,0.958589494,1.514767885,0.020008104,66.91339874
Oxygen,270,5000000,0.954610348,1.528619051,0.020157479,74.65813446
Oxygen,273.1499939,10000,0.999903202,1.396998882,0.019089768,0.140908718
Oxygen,273.1499939,20000,0.999806464,1.397234678,0.019092903,0.281844705
Oxygen,273.1499939,30000,0.999709785,1.397470593,0.019095678,0.422807962
Oxygen,273.1499939,40000,0.999613106,1.397706509,0.019098271,0.563798428
Oxygen,273.1499939,50000,0.999516487,1.397942662,0.019100748,0.704816163
Oxygen,273.1499939,60000,0.999419928,1.398178816,0.019103147,0.845861137
Oxygen,273.1499939,70000,0.999323368,1.398415089,0.019105485,0.986933351
Oxygen,273.1499939,80000,0.999226809,1.398651361,0.019107776,1.128032804
Oxygen,273.1499939,90000,0.999130368,1.398887753,0.019110031,1.269159436
Oxygen,273.1499939,100000,0.999033928,1.399124384,0.019112257,1.410313249
Oxygen,273.1499939,500000,0.995208204,1.408656597,0.019195285,7.078673363
Oxygen,273.1499939,1000000,0.990515292,1.420762658,0.019299988,14.22442245
Oxygen,273.1499939,1500000,0.985925555,1.433070302,0.019409675,21.43596077
Oxygen,273.1499939,2000000,0.981443226,1.445566893,0.019524746,28.71181297
Oxygen,273.1499939,2500000,0.977072656,1.458238125,0.019645203,36.05030823
Oxygen,273.1499939,3000000,0.972818196,1.471068025,0.019770995,43.44956207
Oxygen,273.1499939,3500000,0.968684196,1.484038949,0.019902062,50.90748596
Oxygen,273.1499939,4000000,0.96467495,1.497131348,0.02003835,58.42178345
Oxygen,273.1499939,4500000,0.960794866,1.51032424,0.020179819,65.9899292
Oxygen,273.1499939,5000000,0.957048178,1.523594737,0.020326434,73.60918427
Oxygen,280,10000,0.999913394,1.396502256,0.019496033,0.137460083
Oxygen,280,20000,0.999826789,1.396723151,0.019499093,0.274943978
Oxygen,280,30000,0.999740243,1.396944165,0.019501803,0.412451684
Oxygen,280,40000,0.999653697,1.397165179,0.019504335,0.549983203
Oxygen,280,50000,0.99956727,1.397386312,0.019506752,0.687538445
Oxygen,280,60000,0.999480784,1.397607565,0.01950909,0.825117469
Oxygen,280,70000,0.999394417,1.397828817,0.019511372,0.962720275
Oxygen,280,80000,0.99930805,1.39805007,0.019513607,1.100346804
Oxygen,280,90000,0.999221742,1.398271441,0.019515807,1.237997174
Oxygen,280,100000,0.999135435,1.398492932,0.019517977,1.375671148
Oxygen,280,500000,0.995715141,1.407408237,0.019598838,6.901983261
Oxygen,280,1000000,0.991527379,1.418701887,0.019700639,13.86226749
