MaterialCrossReference,Temperature_K,CofE
Austenitic Steel,74.8166667,0.00001467
Austenitic Steel,88.7055556,0.000014778
Austenitic Steel,102.5944444,0.000014904
Austenitic Steel,116.4833333,0.000015012
Austenitic Steel,130.3722222,0.000015138
Austenitic Steel,144.2611111,0.000015246
Austenitic Steel,158.15,0.000015372
Austenitic Steel,172.0388889,0.00001548
Austenitic Steel,185.9277778,0.000015588
Austenitic Steel,199.8166667,0.00001575
Austenitic Steel,213.7055556,0.000015894
Austenitic Steel,227.5944444,0.00001602
Austenitic Steel,241.4833333,0.000016092
Austenitic Steel,255.3722222,0.000016164
Austenitic Steel,269.2611111,0.000016254
Austenitic Steel,283.15,0.000016326
Austenitic Steel,294.2611111,0.000016398
Austenitic Steel,310.9277778,0.000016488
Austenitic Steel,324.8166667,0.00001656
Austenitic Steel,338.7055556,0.00001665
Austenitic Steel,352.5944444,0.000016722
Austenitic Steel,366.4833333,0.000016812
Austenitic Steel,380.3722222,0.000016866
Austenitic Steel,394.2611111,0.000016938
Austenitic Steel,408.15,0.000016992
Austenitic Steel,422.0388889,0.000017046
Austenitic Steel,435.9277778,0.0000171
Austenitic Steel,449.8166667,0.000017154
Austenitic Steel,463.7055556,0.000017208
Austenitic Steel,477.5944444,0.000017262
Austenitic Steel,491.4833333,0.000017316
Austenitic Steel,505.3722222,0.00001737
Austenitic Steel,519.2611111,0.000017406
Austenitic Steel,533.15,0.00001746
Austenitic Steel,547.0388889,0.000017514
Austenitic Steel,560.9277778,0.000017568
Austenitic Steel,574.8166667,0.000017622
Austenitic Steel,588.7055556,0.000017676
Austenitic Steel,602.5944444,0.00001773
Austenitic Steel,616.4833333,0.000017766
Austenitic Steel,630.3722222,0.00001782
Austenitic Steel,644.2611111,0.000017856
Austenitic Steel,658.15,0.00001791
Austenitic Steel,672.0388889,0.000017982
Austenitic Steel,685.9277778,0.000018036
Austenitic Steel,699.8166667,0.00001809
Austenitic Steel,713.7055556,0.000018144
Austenitic Steel,727.5944444,0.000018198
Austenitic Steel,741.4833333,0.000018234
Austenitic Steel,755.3722222,0.000018288
Austenitic Steel,769.2611111,0.000018342
Austenitic Steel,783.15,0.000018414
Austenitic Steel,797.0388889,0.000018468
Austenitic Steel,810.9277778,0.000018522
Austenitic Steel,824.8166667,0.000018576
Austenitic Steel,838.7055556,0.000018612
Austenitic Steel,852.5944444,0.000018666
Austenitic Steel,866.4833333,0.000018702
Austenitic Steel,880.3722222,0.000018738
Austenitic Steel,894.2611111,0.000018792
Austenitic Steel,908.15,0.000018828
Austenitic Steel,922.0388889,0.000018864
Austenitic Steel,935.9277778,0.0000189
Austenitic Steel,949.8166667,0.000018918
Austenitic Steel,963.7055556,0.000018954
Austenitic Steel,977.5944444,0.000018972
Austenitic Steel,991.4833333,0.000019008
Austenitic Steel,1005.372222,0.000019026
Austenitic Steel,1019.261111,0.000019062
Austenitic Steel,1033.15,0.00001908
Austenitic Steel,1047.038889,0.000019152
Austenitic Steel,1060.927778,0.000019224
Austenitic Steel,1074.816667,0.000019296
Austenitic Steel,1088.705556,0.000019386
Carbon Steel,74.8166667,0.000009
Carbon Steel,88.7055556,0.000009126
Carbon Steel,102.5944444,0.000009252
Carbon Steel,116.4833333,0.000009378
Carbon Steel,130.3722222,0.000009504
Carbon Steel,144.2611111,0.00000963
Carbon Steel,158.15,0.000009756
Carbon Steel,172.0388889,0.0000099
Carbon Steel,185.9277778,0.000010026
Carbon Steel,199.8166667,0.00001017
Carbon Steel,213.7055556,0.000010296
Carbon Steel,227.5944444,0.00001044
Carbon Steel,241.4833333,0.00001053
Carbon Steel,255.3722222,0.00001062
Carbon Steel,269.2611111,0.000010728
Carbon Steel,283.15,0.000010818
Carbon Steel,294.2611111,0.000010926
Carbon Steel,310.9277778,0.000011034
Carbon Steel,324.8166667,0.000011142
Carbon Steel,338.7055556,0.00001125
Carbon Steel,352.5944444,0.000011358
Carbon Steel,366.4833333,0.000011484
Carbon Steel,380.3722222,0.000011574
Carbon Steel,394.2611111,0.000011682
Carbon Steel,408.15,0.000011772
Carbon Steel,422.0388889,0.00001188
Carbon Steel,435.9277778,0.00001197
Carbon Steel,449.8166667,0.000012078
Carbon Steel,463.7055556,0.000012168
Carbon Steel,477.5944444,0.000012276
Carbon Steel,491.4833333,0.000012366
Carbon Steel,505.3722222,0.000012456
Carbon Steel,519.2611111,0.000012546
Carbon Steel,533.15,0.000012636
Carbon Steel,547.0388889,0.000012726
Carbon Steel,560.9277778,0.000012816
Carbon Steel,574.8166667,0.000012906
Carbon Steel,588.7055556,0.000013014
Carbon Steel,602.5944444,0.000013104
Carbon Steel,616.4833333,0.000013194
Carbon Steel,630.3722222,0.000013284
Carbon Steel,644.2611111,0.000013392
Carbon Steel,658.15,0.000013482
Carbon Steel,672.0388889,0.000013572
Carbon Steel,685.9277778,0.000013662
Carbon Steel,699.8166667,0.00001377
Carbon Steel,713.7055556,0.00001386
Carbon Steel,727.5944444,0.00001395
Carbon Steel,741.4833333,0.000014022
Carbon Steel,755.3722222,0.000014112
Carbon Steel,769.2611111,0.000014166
Carbon Steel,783.15,0.000014238
Carbon Steel,797.0388889,0.000014292
Carbon Steel,810.9277778,0.000014346
Carbon Steel,824.8166667,0.000014418
Carbon Steel,838.7055556,0.00001449
Carbon Steel,852.5944444,0.000014544
Carbon Steel,866.4833333,0.000014616
Carbon Steel,880.3722222,0.000014652
Carbon Steel,894.2611111,0.000014688
Carbon Steel,908.15,0.000014706
Carbon Steel,922.0388889,0.000014742
Carbon Steel,935.9277778,0.000014778
Carbon Steel,949.8166667,0.000014832
Carbon Steel,963.7055556,0.000014868
Carbon Steel,977.5944444,0.000014904
Carbon Steel,991.4833333,0.00001494
Carbon Steel,1005.372222,0.000014976
Carbon Steel,1019.261111,0.000015012
Carbon Steel,1033.15,0.000015048
UNS N04400,74.8166667,0.00000999
UNS N04400,88.7055556,0.000010296
UNS N04400,102.5944444,0.000010602
UNS N04400,116.4833333,0.000010908
UNS N04400,130.3722222,0.000011214
UNS N04400,144.2611111,0.00001152
UNS N04400,158.15,0.000011826
UNS N04400,172.0388889,0.00001215
UNS N04400,185.9277778,0.00001233
UNS N04400,199.8166667,0.00001251
UNS N04400,213.7055556,0.00001269
UNS N04400,227.5944444,0.00001287
UNS N04400,241.4833333,0.000012996
UNS N04400,255.3722222,0.000013104
UNS N04400,269.2611111,0.00001323
UNS N04400,283.15,0.000013338
UNS N04400,294.2611111,0.000013464
UNS N04400,310.9277778,0.00001359
UNS N04400,324.8166667,0.000013716
UNS N04400,338.7055556,0.00001386
UNS N04400,352.5944444,0.000013986
UNS N04400,366.4833333,0.000014112
UNS N04400,380.3722222,0.000014202
UNS N04400,394.2611111,0.000014274
UNS N04400,408.15,0.000014364
UNS N04400,422.0388889,0.000014436
UNS N04400,435.9277778,0.000014526
UNS N04400,449.8166667,0.000014598
UNS N04400,463.7055556,0.000014688
UNS N04400,477.5944444,0.00001476
UNS N04400,491.4833333,0.00001485
UNS N04400,505.3722222,0.00001494
UNS N04400,519.2611111,0.00001503
UNS N04400,533.15,0.00001512
UNS N04400,547.0388889,0.00001521
UNS N04400,560.9277778,0.000015282
UNS N04400,574.8166667,0.000015372
UNS N04400,588.7055556,0.000015444
UNS N04400,602.5944444,0.000015534
UNS N04400,616.4833333,0.000015624
UNS N04400,630.3722222,0.000015714
UNS N04400,644.2611111,0.000015804
UNS N04400,658.15,0.000015894
UNS N04400,672.0388889,0.000015966
UNS N04400,685.9277778,0.000016056
UNS N04400,699.8166667,0.000016128
UNS N04400,713.7055556,0.000016218
UNS N04400,727.5944444,0.000016308
UNS N04400,741.4833333,0.000016398
UNS N04400,755.3722222,0.000016488
UNS N04400,769.2611111,0.000016578
UNS N04400,783.15,0.00001665
UNS N04400,797.0388889,0.00001674
UNS N04400,810.9277778,0.000016812
UNS N04400,824.8166667,0.000016902
UNS N04400,838.7055556,0.000016974
UNS N04400,852.5944444,0.000017064
UNS N04400,866.4833333,0.000017136
UNS N04400,880.3722222,0.000017226
UNS N04400,894.2611111,0.000017298
UNS N04400,908.15,0.000017388
UNS N04400,922.0388889,0.00001746
UNS N04400,935.9277778,0.00001755
UNS N04400,949.8166667,0.000017622
UNS N04400,963.7055556,0.000017712
UNS N04400,977.5944444,0.000017784
UNS N04400,991.4833333,0.000017856
UNS N04400,1005.372222,0.000017928
UNS N04400,1019.261111,0.000018
UNS N04400,1033.15,0.000018072
UNS N06XXX,273.15,0.0000127
UNS N06XXX,288.15,0.0000127
UNS N06XXX,293.15,0.0000128
UNS N06XXX,294.2611111,0.000012834
UNS N06XXX,310.9277778,0.00001296
UNS N06XXX,324.8166667,0.00001305
UNS N06XXX,338.7055556,0.00001314
UNS N06XXX,352.5944444,0.00001323
UNS N06XXX,366.4833333,0.00001332
UNS N06XXX,380.3722222,0.000013392
UNS N06XXX,394.2611111,0.000013464
UNS N06XXX,408.15,0.000013536
UNS N06XXX,422.0388889,0.000013608
UNS N06XXX,435.9277778,0.00001368
UNS N06XXX,449.8166667,0.000013734
UNS N06XXX,463.7055556,0.000013806
UNS N06XXX,477.5944444,0.00001386
UNS N06XXX,491.4833333,0.000013896
UNS N06XXX,505.3722222,0.00001395
UNS N06XXX,519.2611111,0.000013986
UNS N06XXX,533.15,0.00001404
UNS N06XXX,547.0388889,0.000014076
UNS N06XXX,560.9277778,0.00001413
UNS N06XXX,574.8166667,0.000014184
UNS N06XXX,588.7055556,0.00001422
UNS N06XXX,602.5944444,0.000014256
UNS N06XXX,616.4833333,0.00001431
UNS N06XXX,630.3722222,0.000014364
UNS N06XXX,644.2611111,0.0000144
UNS N06XXX,658.15,0.000014436
UNS N06XXX,672.0388889,0.00001449
UNS N06XXX,685.9277778,0.000014544
UNS N06XXX,699.8166667,0.00001458
UNS N08XXX,273.15,0.00001422
UNS N08XXX,283.15,0.00001422
UNS N08XXX,294.2611111,0.00001422
UNS N08XXX,310.9277778,0.00001422
UNS N08XXX,324.8166667,0.00001422
UNS N08XXX,338.7055556,0.00001422
UNS N08XXX,352.5944444,0.00001422
UNS N08XXX,366.4833333,0.000014418
UNS N08XXX,380.3722222,0.000014616
UNS N08XXX,394.2611111,0.000014832
UNS N08XXX,408.15,0.00001503
UNS N08XXX,422.0388889,0.000015228
UNS N08XXX,435.9277778,0.000015426
UNS N08XXX,449.8166667,0.000015642
UNS N08XXX,463.7055556,0.000015642
UNS N08XXX,477.5944444,0.00001584
UNS N08XXX,491.4833333,0.000015876
UNS N08XXX,505.3722222,0.00001593
UNS N08XXX,519.2611111,0.000015966
UNS N08XXX,533.15,0.00001602
UNS N08XXX,547.0388889,0.000016056
UNS N08XXX,560.9277778,0.00001611
UNS N08XXX,574.8166667,0.000016146
UNS N08XXX,588.7055556,0.0000162
UNS N08XXX,602.5944444,0.000016236
UNS N08XXX,616.4833333,0.00001629
UNS N08XXX,630.3722222,0.000016326
UNS N08XXX,644.2611111,0.00001638
UNS N08XXX,658.15,0.000016416
UNS N08XXX,672.0388889,0.00001647
UNS N08XXX,685.9277778,0.000016506
UNS N08XXX,699.8166667,0.00001656
UNS N08XXX,713.7055556,0.000016596
UNS N08XXX,727.5944444,0.00001665
UNS N08XXX,741.4833333,0.000016686
UNS N08XXX,755.3722222,0.00001674
UNS N08XXX,769.2611111,0.000016776
UNS N08XXX,783.15,0.00001683
UNS N08XXX,797.0388889,0.000016866
UNS N08XXX,810.9277778,0.00001692
UNS N08XXX,824.8166667,0.000016956
UNS N08XXX,838.7055556,0.00001701
UNS N08XXX,852.5944444,0.000017046
UNS N08XXX,866.4833333,0.0000171
UNS N08XXX,880.3722222,0.000017136
UNS N08XXX,894.2611111,0.00001719
UNS N08XXX,908.15,0.000017226
UNS N08XXX,922.0388889,0.00001728
UNS N08XXX,935.9277778,0.000017352
UNS N08XXX,949.8166667,0.000017424
UNS N08XXX,963.7055556,0.000017478
UNS N08XXX,977.5944444,0.00001755
UNS N08XXX,991.4833333,0.000017622
UNS N08XXX,1005.372222,0.000017694
UNS N08XXX,1019.261111,0.000017748
UNS N08XXX,1033.15,0.00001782
UNS N08XXX,1047.038889,0.000017892
UNS N08XXX,1060.927778,0.000017964
UNS N08XXX,1074.816667,0.000018018
UNS N08XXX,1088.705556,0.00001809
5Cr-Mo,74.81666667,0.00000846
5Cr-Mo,88.70555556,0.000008586
5Cr-Mo,102.5944444,0.000008712
5Cr-Mo,116.4833333,0.000008838
5Cr-Mo,130.3722222,0.000008964
5Cr-Mo,144.2611111,0.00000909
5Cr-Mo,158.15,0.000009216
5Cr-Mo,172.0388889,0.00000936
5Cr-Mo,185.9277778,0.000009468
5Cr-Mo,199.8166667,0.000009576
5Cr-Mo,213.7055556,0.000009684
5Cr-Mo,227.5944444,0.00000981
5Cr-Mo,241.4833333,0.000009918
5Cr-Mo,255.3722222,0.000010008
5Cr-Mo,269.2611111,0.000010116
5Cr-Mo,283.15,0.000010206
5Cr-Mo,294.2611111,0.000010314
5Cr-Mo,310.9277778,0.000010422
5Cr-Mo,324.8166667,0.00001053
5Cr-Mo,338.7055556,0.000010656
5Cr-Mo,352.5944444,0.000010764
5Cr-Mo,366.4833333,0.000010872
5Cr-Mo,380.3722222,0.000010944
5Cr-Mo,394.2611111,0.000011016
5Cr-Mo,408.15,0.00001107
5Cr-Mo,422.0388889,0.000011142
5Cr-Mo,435.9277778,0.000011214
5Cr-Mo,449.8166667,0.000011286
5Cr-Mo,463.7055556,0.00001134
5Cr-Mo,477.5944444,0.000011412
5Cr-Mo,491.4833333,0.000011484
5Cr-Mo,505.3722222,0.000011556
