MaterialCrossReference,Temperature_K,ModElasticity_msi,ModElasticity_Pa
Austenitic Steel,74.8166667,30.3,2.09E+11
Austenitic Steel,144.2611111,29.7,2.05E+11
Austenitic Steel,199.8166667,29,2.00E+11
Austenitic Steel,294.2611111,28.3,1.95E+11
Austenitic Steel,366.4833333,27.6,1.90E+11
Austenitic Steel,422.0388889,27,1.86E+11
Austenitic Steel,477.5944444,26.5,1.83E+11
Austenitic Steel,533.15,25.8,1.78E+11
Austenitic Steel,588.7055556,25.3,1.74E+11
Austenitic Steel,644.2611111,24.8,1.71E+11
Austenitic Steel,699.8166667,24.1,1.66E+11
Austenitic Steel,755.3722222,23.5,1.62E+11
Austenitic Steel,810.9277778,22.8,1.57E+11
Austenitic Steel,866.4833333,22.1,1.52E+11
Austenitic Steel,922.0388889,21.2,1.46E+11
Austenitic Steel,977.5944444,20.2,1.39E+11
Austenitic Steel,1033.15,19.2,1.32E+11
Austenitic Steel,1088.705556,18.1,1.25E+11
Carbon Steel,74.8166667,31.4,2.16E+11
Carbon Steel,144.2611111,30.8,2.12E+11
Carbon Steel,199.8166667,30.2,2.08E+11
Carbon Steel,294.2611111,29.5,2.03E+11
Carbon Steel,366.4833333,28.8,1.99E+11
Carbon Steel,422.0388889,28.3,1.95E+11
Carbon Steel,477.5944444,27.7,1.91E+11
Carbon Steel,533.15,27.3,1.88E+11
Carbon Steel,588.7055556,26.7,1.84E+11
Carbon Steel,644.2611111,25.5,1.76E+11
Carbon Steel,699.8166667,24.2,1.67E+11
Carbon Steel,755.3722222,22.4,1.54E+11
Carbon Steel,810.9277778,20.4,1.41E+11
Carbon Steel,866.4833333,18,1.24E+11
UNS N04400,74.8166667,27.8,1.92E+11
UNS N04400,144.2611111,27.3,1.88E+11
UNS N04400,199.8166667,26.8,1.85E+11
UNS N04400,294.2611111,26,1.79E+11
UNS N04400,366.4833333,25.4,1.75E+11
UNS N04400,422.0388889,25,1.72E+11
UNS N04400,477.5944444,24.7,1.70E+11
UNS N04400,533.15,24.3,1.68E+11
UNS N04400,588.7055556,24.1,1.66E+11
UNS N04400,644.2611111,23.7,1.63E+11
UNS N04400,699.8166667,23.1,1.59E+11
UNS N04400,755.3722222,22.6,1.56E+11
UNS N04400,810.9277778,22.1,1.52E+11
UNS N04400,866.4833333,21.7,1.50E+11
UNS N04400,922.0388889,21.2,1.46E+11
UNS N06600,74.8166667,33.2,2.29E+11
UNS N06600,144.2611111,32.6,2.25E+11
UNS N06600,199.8166667,31.9,2.20E+11
UNS N06600,294.2611111,31,2.14E+11
UNS N06600,366.4833333,30.2,2.08E+11
UNS N06600,422.0388889,29.9,2.06E+11
UNS N06600,477.5944444,29.5,2.03E+11
UNS N06600,533.15,29,2.00E+11
UNS N06600,588.7055556,28.7,1.98E+11
UNS N06600,644.2611111,28.2,1.94E+11
UNS N06600,699.8166667,27.6,1.90E+11
UNS N06600,755.3722222,27,1.86E+11
UNS N06600,810.9277778,26.4,1.82E+11
UNS N06600,866.4833333,25.9,1.79E+11
UNS N06600,922.0388889,25.3,1.74E+11
UNS N06625,74.8166667,32.1,2.21E+11
UNS N06625,144.2611111,31.5,2.17E+11
UNS N06625,199.8166667,30.9,2.13E+11
UNS N06625,294.2611111,30,2.07E+11
UNS N06625,366.4833333,29.3,2.02E+11
UNS N06625,422.0388889,28.8,1.99E+11
UNS N06625,477.5944444,28.5,1.97E+11
UNS N06625,533.15,28.1,1.94E+11
UNS N06625,588.7055556,27.8,1.92E+11
UNS N06625,644.2611111,27.3,1.88E+11
UNS N06625,699.8166667,26.7,1.84E+11
UNS N06625,755.3722222,26.1,1.80E+11
UNS N06625,810.9277778,25.5,1.76E+11
UNS N06625,866.4833333,25.1,1.73E+11
UNS N06625,922.0388889,24.5,1.69E+11
UNS N08XXX,74.8166667,30.5,2.10E+11
UNS N08XXX,144.2611111,29.9,2.06E+11
UNS N08XXX,199.8166667,29.4,2.03E+11
UNS N08XXX,294.2611111,28.5,1.97E+11
UNS N08XXX,366.4833333,27.8,1.92E+11
UNS N08XXX,422.0388889,27.4,1.89E+11
UNS N08XXX,477.5944444,27.1,1.87E+11
UNS N08XXX,533.15,26.6,1.83E+11
UNS N08XXX,588.7055556,26.4,1.82E+11
UNS N08XXX,644.2611111,25.9,1.79E+11
UNS N08XXX,699.8166667,25.4,1.75E+11
UNS N08XXX,755.3722222,24.8,1.71E+11
UNS N08XXX,810.9277778,24.2,1.67E+11
UNS N08XXX,866.4833333,23.8,1.64E+11
UNS N08XXX,922.0388889,23.2,1.60E+11
UNS N10276,74.8166667,31.6,2.18E+11
UNS N10276,144.2611111,31.3,2.16E+11
UNS N10276,199.8166667,30.6,2.11E+11
UNS N10276,294.2611111,29.8,2.05E+11
UNS N10276,366.4833333,29.1,2.01E+11
UNS N10276,422.0388889,28.6,1.97E+11
UNS N10276,477.5944444,28.3,1.95E+11
UNS N10276,533.15,27.9,1.92E+11
UNS N10276,588.7055556,27.6,1.90E+11
UNS N10276,644.2611111,27.1,1.87E+11
UNS N10276,699.8166667,26.5,1.83E+11
UNS N10276,755.3722222,25.9,1.79E+11
UNS N10276,810.9277778,25.3,1.74E+11
UNS N10276,866.4833333,24.9,1.72E+11
UNS N10276,922.0388889,24.3,1.68E+11
"Cr-Mo Steels, Cr ½% - 2%",74.81666667,31.6,2.17874E+11
"Cr-Mo Steels, Cr ½% - 2%",144.2611111,31,2.13737E+11
"Cr-Mo Steels, Cr ½% - 2%",199.8166667,30.4,2.09601E+11
"Cr-Mo Steels, Cr ½% - 2%",294.2611111,29.7,2.04774E+11
"Cr-Mo Steels, Cr ½% - 2%",366.4833333,29,1.99948E+11
"Cr-Mo Steels, Cr ½% - 2%",422.0388889,28.5,1.96501E+11
"Cr-Mo Steels, Cr ½% - 2%",477.5944444,27.9,1.92364E+11
"Cr-Mo Steels, Cr ½% - 2%",533.15,27.5,1.89606E+11
"Cr-Mo Steels, Cr ½% - 2%",588.7055556,26.9,1.85469E+11
"Cr-Mo Steels, Cr ½% - 2%",644.2611111,26.3,1.81332E+11
"Cr-Mo Steels, Cr ½% - 2%",699.8166667,25.5,1.75816E+11
"Cr-Mo Steels, Cr ½% - 2%",755.3722222,24.8,1.7099E+11
"Cr-Mo Steels, Cr ½% - 2%",810.9277778,23.9,1.64785E+11
"Cr-Mo Steels, Cr ½% - 2%",866.4833333,23,1.58579E+11
"Cr-Mo Steels, Cr ½% - 2%",922.0388889,21.8,1.50306E+11
"Cr-Mo Steels, Cr ½% - 2%",977.5944444,20.5,1.41343E+11
"Cr-Mo Steels, Cr ½% - 2%",1033.15,18.9,1.30311E+11
"Cr-Mo Steels, Cr 2¼% - 3%",74.81666667,32.6,2.25E+11
"Cr-Mo Steels, Cr 2¼% - 3%",144.2611111,32,2.21E+11
"Cr-Mo Steels, Cr 2¼% - 3%",199.8166667,31.4,2.16E+11
"Cr-Mo Steels, Cr 2¼% - 3%",294.2611111,30.6,2.11E+11
"Cr-Mo Steels, Cr 2¼% - 3%",366.4833333,29.8,2.05E+11
"Cr-Mo Steels, Cr 2¼% - 3%",422.0388889,29.4,2.03E+11
