Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
,([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6'),TRUE,1,Material may not be suitable when corrosive components are present. Customer to confirm suitability.,,,,,
,"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 811)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>811))",FALSE,3,Material not suitable for stack temperatures greater than 538°C.,,,,,
,([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1'),TRUE,1,Material may not be suitable when corrosive components are present. Customer to confirm suitability.,,,,,
,"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 973)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>973))",FALSE,2,Material not suitable for stack temperatures greater than 700°C.,,,,,
,([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2'),TRUE,1,Material may not be suitable when corrosive components are present. Customer to confirm suitability.,,,,,
,"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1173)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1173))",FALSE,2,"For stack temperatures between 900°C - 1,200°C the instrument will have a reduced lifespan.",,,,,
,"([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1473)) OR  ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1473))",FALSE,3,"Material not suitable for stack temperatures greater than 1,200°C.",,,,,
,([SelectedItem]{CH/FPD58/INTERFACE/UNIT}='A'),TRUE,1,Purging advised if particulate concentration >30 mg/m³.,,,,,
,([SelectedItem]{CH/FPD58/INTERFACE/UNIT}='B'),TRUE,1,Purging advised if particulate concentration >30 mg/m³.,,,,,
,([MaxParticulateQty]>30) AND ([MaxParticulateQty]<=300),FALSE,2,Purging is strongly recommended as particulate concentration >30 mg/m³.,,,,,
,([MaxParticulateQty]>300),FALSE,3,"Particulate content is very high (>300 mg/m³), please contact your sales representative for advice.",,,,,
,"([SelectedItem]{CH/FPD58/TEMP/ELEM}='AT') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 873)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>873))",FALSE,3,RTD temperature sensor not available when stack temperature is greater than 600°C.,,,,,
,"([SelectedItem]{CH/FPD58/STAND/ACC}='K1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 673)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>673))",FALSE,3,Gasket type not suitable when stack temperature is greater than 400°C.,,,,,
,"([SelectedItem]{CH/FPD58/STAND/ACC}='K2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 673)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>673))",FALSE,3,Gasket type not suitable when stack temperature is greater than 400°C.,,,,,
,"([SelectedItem]{CH/FPD58/STAND/ACC}='K3') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1073)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1073))",FALSE,3,Gasket type not suitable when stack temperature is greater than 800°C.,,,,,
,"([SelectedItem]{CH/FPD58/STAND/ACC}='K4') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1073)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1073))",FALSE,3,Gasket type not suitable when stack temperature is greater than 800°C.,,,,,
,"NOT('TP1' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([PipeID]{length,PipeIDUnits}>5.0)",FALSE,2,Two-piece construction is needed for stack ID greater than 5m.,,,,,
,"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S6') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 823)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>823))",FALSE,2,Bayonet fitting is needed for stack temperature greater than 550°C.,,,,,
,"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='S1') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 823)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>823))",FALSE,2,Bayonet fitting is needed for stack temperature greater than 550°C.,,,,,
,"NOT('TP7' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([SelectedItem]{CH/FPD58/PROBE/MATERIAL}='N2') AND ((([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} > 1173)) OR ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>1173))",FALSE,2,Bayonet fitting is needed for stack temperature greater than 900°C.,,,,,
,"NOT('HC2' IN ([SelectedItem]{CH/FPD58/INTERFACE/HEATER})) AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}<273)",FALSE,2,Heater is recommended for ambient temperatures less than 0°C.,,,,,
,"(([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL) AND ([OperatingTemperature]{temperature,OperatingTemperatureUnits}>[DesignTemperatureMax]{temperature,OperatingTemperatureUnits}))",FALSE,3,Design Temperature must be greater than or equal to the Operating Temperature.,,,,,
,"([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NULL)",FALSE,2,Design Temperature not supplied - all calculations and suitability checks using Operating Temperature.,,,,,
,"([DesignTemperatureMax]{temperature,OperatingTemperatureUnits} IS NOT NULL)",FALSE,1,Design Temperature used in suitability checks.,,,,,
,"(([InstallUpstreamLength]{length,InstallUpstreamLengthUnits} IS NOT NULL) AND ([InstallUpstreamLength]{length,InstallUpstreamLengthUnits} < 8.0 * [PipeID]{length,PipeIDUnits}))",FALSE,2,For good flow measurement at least 8*ID straight lengths upstream of the installation point are required.,,,,,
,"NOT('TP2' IN ([SelectedItem]{CH/FPD58/PROBE/DES})) AND ([InstallAccessLength]{length,InstallAccessLengthUnits} IS NOT NULL) AND ([InstallAccessLength]{length,InstallAccessLengthUnits} < (0.28 + [UnsupportedLength]{length,LengthOutputUnits} + [FlangeStandoff]{length,FlangeStandoffUnits}))",FALSE,2,There may not be enough room for installation. Please check if two-piece construction (TP1) would be more suitable.,,,,,
,"NOT('0' IN ([SelectedItem]{CH/FPD58/STAND})) AND ([SelectedItem]{CH/FPD58/CONN/SIZE}='040') AND ([SelectedItem]{CH/FPD58/CONN/RATING}='A1F') AND ([FlangeStandoff]{length,FlangeStandoffUnits}<0.095)",FALSE,2,Flange standoff length is less than standard length - 95 mm,,,,,
