"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
TIN,CH/HAZARD,1,True,True,True,,,"Hazardous Area Certification","Hazardous Area Certification","","","","","","","","","",""
TIN,CH/TX,2,True,True,True,,,"Transmitter","Transmitter","","","","","","","","","",""
TIN,CH/COMMS,3,True,True,True,,,"Transmitter Comms","Transmitter Comms","","","","","","","","","",""
TIN,CH/UNUSED,4,False,False,True,,,,,"","","","","","","","","",""
TIN,CH/SENSORTYPE,5,True,True,True,,,"Sensor Type","Sensor Type","","","","","","","","","",""
TIN,CH/SENSORTOL,6,True,True,True,,,"Sensor Tolerance","Sensor Tolerance","","","","","","","","","",""
TIN,CH/SENSORCON,7,True,True,True,,,"Sensor Connection","Sensor Connection","","","","","","","","","",""
TIN,CH/SENSORDIA,8,True,True,True,,,"Sensor Diameter","Sensor Diameter","","","","","","","","","",""
TIN,CH/SHEATHMAT,9,True,True,True,,,"Sheath Material","Sheath Material","","","","","","","","","",""
TIN,CH/SENSORTERM,10,True,True,True,,,"Sensor Termination","Sensor Termination","","","","","","","","","",""
