"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
TAI,CH/HAZARD,1,True,True,True,,,"Hazardous Area Certification","Hazardous Area Certification","","","","","","","","","",""
TAI,CH/TX,2,True,True,True,,,"Transmitter","Transmitter","","","","","","","","","",""
TAI,CH/COMMS,3,True,True,True,,,"Transmitter Comms","Transmitter Comms","","","","","","","","","",""
TAI,CH/UNUSED,4,False,False,True,,,,,"","","","","","","","","",""
TAI,CH/HEADTYPE,5,True,True,True,,,"Head Type","Head Type","","","","","","","","","",""
TAI,CH/DISPLAY,6,True,True,True,,,"Display","Display","","","","","","","","","",""
TAI,CH/HEADCABLECON,7,True,True,True,,,"Head Cable Connection","Head Cable Connection","","","","","","","","","",""
TAI,CH/HEADCON,8,True,True,True,,,"Head Connection","Head Connection","","","","","","","","","",""
TAI,CH/EXTENSION,9,True,True,True,,,"Inset Extension","Inset Extension","","","","","","","","","",""
TAI,CH/SENSORTYPE,10,True,True,True,,,"Sensor Type","Sensor Type","","","","","","","","","",""
TAI,CH/SENSORTOL,11,True,True,True,,,"Sensor Tolerance","Sensor Tolerance","","","","","","","","","",""
TAI,CH/SENSORCON,12,True,True,True,,,"Sensor Connection","Sensor Connection","","","","","","","","","",""
TAI,CH/SENSORDIA,13,True,True,True,,,"Sensor Diameter","Sensor Diameter","","","","","","","","","",""
TAI,CH/SHEATHMAT,14,True,True,True,,,"Sheath Material","Sheath Material","","","","","","","","","",""
TAI,CH/SENSORTERM,15,True,True,True,,,"Sensor Termination","Sensor Termination","","","","","","","","","",""
