"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
TAW,CH/HAZARD,1,True,True,True,,,"Hazardous Area Certification","Hazardous Area Certification","","","","","","","","","",""
TAW,CH/TX,2,True,True,True,,,"Transmitter","Transmitter","","","","","","","","","",""
TAW,CH/COMMS,3,True,True,True,,,"Transmitter Comms","Transmitter Comms","","","","","","","","","",""
TAW,CH/UNUSED,4,False,False,True,,,,,"","","","","","","","","",""
TAW,CH/HEADTYPE,5,True,True,True,,,"Head Type","Head Type","","","","","","","","","",""
TAW,CH/DISPLAY,6,True,True,True,,,"Display","Display","","","","","","","","","",""
TAW,CH/HEADCABLECON,7,True,True,True,,,"Head Cable Connection","Head Cable Connection","","","","","","","","","",""
TAW,CH/HEADCON,8,True,True,True,,,"Head Connection","Head Connection","","","","","","","","","",""
TAW,CH/EXTENSION,9,True,True,True,,,"Inset Extension","Inset Extension","","","","","","","","","",""
TAW,CH/SENSORTYPE,10,True,True,True,,,"Sensor Type","Sensor Type","","","","","","","","","",""
TAW,CH/SENSORTOL,11,True,True,True,,,"Sensor Tolerance","Sensor Tolerance","","","","","","","","","",""
TAW,CH/SENSORCON,12,True,True,True,,,"Sensor Connection","Sensor Connection","","","","","","","","","",""
TAW,CH/SENSORDIA,13,True,True,True,,,"Sensor Diameter","Sensor Diameter","","","","","","","","","",""
TAW,CH/SHEATHMAT,14,True,True,True,,,"Sheath Material","Sheath Material","","","","","","","","","",""
TAW,CH/SENSORTERM,15,True,True,True,,,"Sensor Termination","Sensor Termination","","","","","","","","","",""
TAW,CH/TW_MATERIAL,16,True,True,True,,,"Thermowell Material","Thermowell Material","","","","","","","","","",""
TAW,CH/TW_CONSTRUCTION,17,True,True,True,,,"Thermowell Construction","Thermowell Construction","","","","","","","","","",""
TAW,CH/TW_PROCCONN_TYPE,18,True,True,True,,,"Process Connection","Process Connection","","","","","","","","","",""
TAW,CH/TW_PROCCONN_DETAIL,19,True,True,True,,,"Process Connection Detail","Process Connection Detail","","","","","","","","","",""
TAW,CH/TW_INSTCONN,20,True,True,True,,,"Instrument Connection","Instrument Connection","","","","","","","","","",""
TAW,CH/TW_PROFILE,21,True,True,True,,,"Profile","Profile","","","","","","","","","",""
TAW,CH/TW_BORE,22,True,True,True,,,"Bore Diameter","Bore Diameter","","","","","","","","","",""
TAW,CH/TW_TIPTHICK,23,True,True,True,,,"Tip Thickness","Tip Thickness","","","","","","","","","",""
TAW,CH/TW_VCOL,24,True,True,True,,,"Velocity Collar","Velocity Collar","","","","","","","","","",""
TAW,CH/TW_PLUG,25,True,True,True,,,"Plug and Chain","Plug and Chain","","","","","","","","","",""
TAW,CH/TW_COATING,26,True,True,True,,,"Coating","Coating","","","","","","","","","",""
