"ProductCode","SelectionGroup","GrpOrder","InProductCode","MustSelect","SingleSelection","SpecialGroup","MustSelectRule","Name","Description","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD470_1,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD470_1,CH/FPD/ORIFICE/DESIGN,2,True,True,True,7,,"Measurement Design","Measurement Design","","","","","","","","","",""
FPD470_1,CH/FPD/LINE/SIZE,3,True,True,True,4,,"Meter Nominal Bore","Meter Nominal Bore","","","","","","","","","",""
FPD470_1,CH/FPD/PIPE/SCH,4,True,True,True,5,,"Meter Schedule","Meter Schedule","","","","","","","","","",""
FPD470_1,CH/FPD/NONELEM/MAT,5,True,True,True,2,,"Pipe Material","Pipe Material","","","","","","","","","",""
FPD470_1,CH/FPD/ELEM/MAT,6,True,True,True,3,,"Restriction Material","Restriction Material","","","","","","","","","",""
FPD470_1,CH/FPD/HD/RATIO,7,True,True,True,40,,"H/D Ratio","H/D Ratio","","","","","","","","","",""
FPD470_1,CH/FPD/END/CONN/TYPE,8,True,True,True,0,,"Process Connection Type","Process Connection Type","","","","","","","","","",""
FPD470_1,CH/FPD/END/CONN/RAT,9,True,True,True,10,,"Process Connection Rating","Process Connection Rating","","","","","","","","","",""
FPD470_1,CH/FPD/TAPPING/TYPE,10,True,True,True,0,,"Tapping Type","Tapping Type","","","","","","","","","",""
FPD470_1,CH/FPD/TAPPING/SIZE,11,True,True,True,0,,"Tapping Size","Tapping Size","","","","","","","","","",""
FPD470_1,CH/FPD/TAPPING/RAT,12,True,True,True,0,,"Tapping Rating","Tapping Rating","","","","","","","","","",""
FPD470_1,CH/FPD/TAPPING/SETS,13,True,True,True,0,,"Number of Tapping Sets","Number of Tapping Sets","","","","","","","","","",""
FPD470_1,CH/FPD/ADD/REQ,14,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
FPD470_1,CH/FPD/PIPE/ORIENT,15,True,False,True,0,,"Pipe Orientation","Pipe Orientation","","","","","","","","","",""
FPD470_1,CH/FPD/WELD/CODE,16,True,False,True,0,,"Welding Code","Welding Code","","","","","","","","","",""
FPD470_1,CH/FPD/SURFACE/TREAT,17,True,False,True,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD470_1,CH/FPD/CERTIFICATION,18,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD470_1,CH/FPD/TESTING,19,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD470_1,CH/FPD/CAL,20,True,False,False,0,,"Calibration","Calibration","","","","","","","","","",""
FPD470_1,CH/FPD/DOC/LANG,21,True,False,False,0,,"Documentation Language","Documentation Language","","","","","","","","","",""
FPD470_2,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD470_2,CH/FPD/ORIFICE/DESIGN,2,True,True,True,7,,"Measurement Design","Measurement Design","","","","","","","","","",""
FPD470_2,CH/FPD/LINE/SIZE,3,True,True,True,4,,"Meter Nominal Bore","Meter Nominal Bore","","","","","","","","","",""
FPD470_2,CH/FPD/PIPE/SCH,4,True,True,True,5,,"Meter Schedule","Meter Schedule","","","","","","","","","",""
FPD470_2,CH/FPD/NONELEM/MAT,5,True,True,True,2,,"Pipe Material","Pipe Material","","","","","","","","","",""
FPD470_2,CH/FPD/ELEM/MAT,6,True,True,True,3,,"Restriction Material","Restriction Material","","","","","","","","","",""
FPD470_2,CH/FPD/HD/RATIO,7,True,True,True,40,,"H/D Ratio","H/D Ratio","","","","","","","","","",""
FPD470_2,CH/FPD/END/CONN/TYPE,8,True,True,True,0,,"Process Connection Type","Process Connection Type","","","","","","","","","",""
FPD470_2,CH/FPD/END/CONN/RAT,9,True,True,True,10,,"Process Connection Rating","Process Connection Rating","","","","","","","","","",""
FPD470_2,CH/FPD/TAPPING/TYPE,10,True,True,True,0,,"Tapping Type","Tapping Type","","","","","","","","","",""
FPD470_2,CH/FPD/TAPPING/SIZE,11,True,True,True,0,,"Tapping Size","Tapping Size","","","","","","","","","",""
FPD470_2,CH/FPD/TAPPING/RAT,12,True,True,True,0,,"Tapping Rating","Tapping Rating","","","","","","","","","",""
FPD470_2,CH/FPD/TAPPING/SETS,13,True,True,True,0,,"Number of Tapping Sets","Number of Tapping Sets","","","","","","","","","",""
FPD470_2,CH/FPD/ADD/REQ,14,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
FPD470_2,CH/FPD/PIPE/ORIENT,15,True,False,True,0,,"Pipe Orientation","Pipe Orientation","","","","","","","","","",""
FPD470_2,CH/FPD/WELD/CODE,16,True,False,True,0,,"Welding Code","Welding Code","","","","","","","","","",""
FPD470_2,CH/FPD/SURFACE/TREAT,17,True,False,True,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD470_2,CH/FPD/CERTIFICATION,18,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD470_2,CH/FPD/TESTING,19,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD470_2,CH/FPD/CAL,20,True,False,False,0,,"Calibration","Calibration","","","","","","","","","",""
FPD470_2,CH/FPD/DOC/LANG,21,True,False,False,0,,"Documentation Language","Documentation Language","","","","","","","","","",""
FPD470_3,CH/FPD/PRODUCT/DES,1,True,True,True,6,,"Product Design","Product Design","","","","","","","","","",""
FPD470_3,CH/FPD/ORIFICE/DESIGN,2,True,True,True,7,,"Measurement Design","Measurement Design","","","","","","","","","",""
FPD470_3,CH/FPD/LINE/SIZE,3,True,True,True,4,,"Meter Nominal Bore","Meter Nominal Bore","","","","","","","","","",""
FPD470_3,CH/FPD/PIPE/SCH,4,True,True,True,5,,"Meter Schedule","Meter Schedule","","","","","","","","","",""
FPD470_3,CH/FPD/NONELEM/MAT,5,True,True,True,2,,"Pipe Material","Pipe Material","","","","","","","","","",""
FPD470_3,CH/FPD/ELEM/MAT,6,True,True,True,3,,"Restriction Material","Restriction Material","","","","","","","","","",""
FPD470_3,CH/FPD/HD/RATIO,7,True,True,True,40,,"H/D Ratio","H/D Ratio","","","","","","","","","",""
FPD470_3,CH/FPD/END/CONN/TYPE,8,True,True,True,0,,"Process Connection Type","Process Connection Type","","","","","","","","","",""
FPD470_3,CH/FPD/END/CONN/RAT,9,True,True,True,10,,"Process Connection Rating","Process Connection Rating","","","","","","","","","",""
FPD470_3,CH/FPD/TAPPING/TYPE,10,True,True,True,0,,"Tapping Type","Tapping Type","","","","","","","","","",""
FPD470_3,CH/FPD/TAPPING/SIZE,11,True,True,True,0,,"Tapping Size","Tapping Size","","","","","","","","","",""
FPD470_3,CH/FPD/TAPPING/RAT,12,True,True,True,0,,"Tapping Rating","Tapping Rating","","","","","","","","","",""
FPD470_3,CH/FPD/TAPPING/SETS,13,True,True,True,0,,"Number of Tapping Sets","Number of Tapping Sets","","","","","","","","","",""
FPD470_3,CH/FPD/ADD/REQ,14,True,False,False,0,,"Added Requirements","Added Requirements","","","","","","","","","",""
FPD470_3,CH/FPD/PIPE/ORIENT,15,True,False,True,0,,"Pipe Orientation","Pipe Orientation","","","","","","","","","",""
FPD470_3,CH/FPD/WELD/CODE,16,True,False,True,0,,"Welding Code","Welding Code","","","","","","","","","",""
FPD470_3,CH/FPD/SURFACE/TREAT,17,True,False,True,0,,"Surface Treatment","Surface Treatment","","","","","","","","","",""
FPD470_3,CH/FPD/CERTIFICATION,18,True,False,False,0,,"Certification","Certification","","","","","","","","","",""
FPD470_3,CH/FPD/TESTING,19,True,False,False,0,,"Testing","Testing","","","","","","","","","",""
FPD470_3,CH/FPD/CAL,20,True,False,False,0,,"Calibration","Calibration","","","","","","","","","",""
FPD470_3,CH/FPD/DOC/LANG,21,True,False,False,0,,"Documentation Language","Documentation Language","","","","","","","","","",""
