Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
User iso valve,([SelectedItem]{CH/FPD/ISO/VALVE}='VF9') AND ([UserIsoValveLength] <> true),FALSE,3,"Customer supplied isolation valve selected - please tick ""override"" and supply isolation valve length.",,,,,
User standoff,"([SelectedItem]{CH/FPD/MOUNTING} IN ('F5','F6','F7') AND ([UserStandOffLength] <> true))",FALSE,3,"Customer supplied stand-off selected - please tick ""override"" and supply standoff length.",,,,,
100 series pipe,('[ProductCode]' IN ('FPD350_1')),TRUE,1,The 100 series models are made using Sched 80 pipe - please ensure that process pipe dimensions are Sched 80.,,,,,
Accessory AV2 temp limit,"([OperatingPressure]{pressure,OperatingPressureUnits}>1000000) AND ([SelectedItem]{CH/FPD/FITT/ACC} IN ('AV2'))",FALSE,2,"Accessory ""AV2"" has maximum advisable operating pressure of 10bar.",,,,,
Gasket Pressure Limit,"([OperatingPressure]{pressure,OperatingPressureUnits}>4000000) AND ([SelectedItem]{CH/FPD/GASKET} IN ('GT1'))",FALSE,2,"Standard fibre gaskets are not recommended for pressures above 40 bar. For pressures above this consider ""GT2"" option with 316SS spiral wound gasket.",,,,,
Gasket Temperature Limit,"([OperatingTemperature]{temperature,OperatingTemperatureUnits}>473) AND ([SelectedItem]{CH/FPD/GASKET} IN ('GT1'))",FALSE,2,"Standard fibre gaskets are not recommended for use above 200 °C at the flange. For temperatures above this consider ""GT2"" option with 316SS spiral wound gasket.",,,,,
Material temp limit,"([OperatingTemperature]{temperature,OperatingTemperatureUnits}>723.15) AND (([SelectedItem]{CH/FPD/ELEM/MAT} IN ('S6')) OR ([SelectedItem]{CH/FPD/NONELEM/MAT} IN ('S6','C3')))",FALSE,2,The maximum advisable temperature for 316L SS or A106 CS is 450°C.,,,,,
Pipe WT limit,"([PipeWT]{length,PipeWTUnits}<0.0000508) AND  ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('T3','T4','L6','L7')) AND ([SelectedItem]{CH/FPD/END/SUPT} IN ('E1','E2')) AND ([SelectedItem]{CH/FPD/MOUNTING} IN ('T1','T2'))",TRUE,2,"Duct mounting plate option ""DF1"" is recommended due to wall thickness.",,,,,
Model advice,"('[ProductCode]' IN ('FPD350_L7', 'FPD350_H7')) AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('L7','H7')) AND ([SelectedItem]{CH/FPD/END/SUPT} IN ('E2')) AND ([SelectedItem]{CH/FPD/MOUNTING} IN ('T2','F2','F3','F4','F5','F6','F7'))",TRUE,2,During retraction and insertion this model will not be supported by the end support.  e recommend that a calculation is also done using the equivalent unsupported model (e.g. H711 for H712) to check the max allowable DP and flow at which retraction can safely be carried out.,,,,,
Model advice,"('[ProductCode]' IN ('FPD350_L7', 'FPD350_H7', 'FPD350_H8')) AND ([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('L7','H7','H8')) AND ([SelectedItem]{CH/FPD/END/SUPT} IN ('E2'))",TRUE,1,"For models L7, H7 and H8 the process line must be depressurised while the end support is fitted.",,,,,
Temp warning,"([OperatingTemperature]{temperature,OperatingTemperatureUnits}>423.15) AND ([SelectedItem]{CH/FPD/TAPPING/TYPE} IN ('D1','D2','D3','D4','D5'))",FALSE,1,"For higher temperature applications, consider whether the transmitter will be suitable for the temperature at the Direct Mount Head - if not, transmitter should be mounted remotely.",,,,,
Temp warning,"([OperatingTemperature]{temperature,OperatingTemperatureUnits}>553.15) AND ([SelectedItem]{CH/FPD/TEMP} IN ('T1','T2'))",TRUE,2,Standard T1 & T2 options are not suitable for design temperatures above 280°C. The high temp T3 and T4 options may be used to 550°C.,,,,,
Temp warning,"([OperatingTemperature]{temperature,OperatingTemperatureUnits}>825.15) AND ([SelectedItem]{CH/FPD/TEMP} IN ('T3','T4'))",TRUE,2,High temperature T3 & T4 options are not suitable for design temperatures above 550°C.,,,,,
Viscosity limit,"([OperatingViscosity]{viscosity,OperatingViscosityUnits} > 200)",FALSE,2,%Product% is not suitable for viscosities greater than 200 cP.,,,,,
Model advice,"([PipeID]{length,PipeIDUnits}>5)",FALSE,2,For ID lengths above 5m please contact the Factory.,,,,,
Model advice,('[ProductCode]' IN ('FPD350_1')) AND ([SelectedItem]{CH/FPD/ELEM/MAT} <> [SelectedItem]{CH/FPD/NONELEM/MAT}),TRUE,3,For 100 series the pipe material must be the same as the %Product% material.,,,,,
Pipe warning,"(ISNULL([PipeWT], 0) <= 0) AND NOT ('[ProductCode]' = 'NULL' OR '[ProductCode]' = '')",TRUE,2,Wall thickness missing - this must be confirmed with order. No resonance check can be performed; %product% may be incompatible with flow conditions.,,,,,
