CharacteristicCode_Logic,Active,Description,UnsupportedLengthEquation_m,MassEquation_kg,,,,,,,,
CH/FPD/PRODUCT/DES=T1 AND CH/FPD/TORBAR/TYPE=W1,TRUE,121,,,,,,,,,,
CH/FPD/PRODUCT/DES=T1 AND CH/FPD/TORBAR/TYPE=T1,TRUE,122,,,,,,,,,,
CH/FPD/PRODUCT/DES=T1 AND CH/FPD/TORBAR/TYPE=F1,TRUE,123,,,,,,,,,,
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/MOUNTING=T1,TRUE,301,ID+WALL+0.05,0.53+(1.3*ID),,,,,,,,
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/MOUNTING=T2,TRUE,302,ID+(2.0*WALL)+0.07,0.83+(1.3*ID),,,,,,,,
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/MOUNTING=T1,TRUE,401,ID+WALL+0.08,1.5+(2.0*ID),,,,,,,,
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/MOUNTING=T2,TRUE,402,ID+(2.0*WALL)+0.115,2.15+(2.0*ID),,,,,,,,
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/END/SUPT=E1 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,311,ID+WALL+SO,0.33+(1.3*ID)+SO_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F2),TRUE,312,ID+(2.0*WALL)+SO+0.02,0.53+(1.3*ID)+SO_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/END/SUPT=E1 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,411,ID+WALL+SO+LV,0.9+(2.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,412,ID+(2.0*WALL)+SO+LV+0.05,1.25+(2.0*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/END/SUPT=E2 AND (CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6),TRUE,412,SO-0.06,SO_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T5 AND CH/FPD/END/SUPT=E1 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,511,ID+WALL+SO+LV,1+(7.5*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T5 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,512,ID+(2.0*WALL)+SO+LV+0.08,5.5+(7.5*ID)+SO_mass+LV_mass,,,,,,,,
CH/FPD/PRODUCT/DES=T5 AND (CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6),TRUE,512,SO-0.10,SO_mass,,,,,,,,
CH/FPD/PRODUCT/DES=L6 AND CH/FPD/MOUNTING=T1,TRUE,L601,ID+WALL+0.02,,,,,,,,,
CH/FPD/PRODUCT/DES=H6 AND CH/FPD/MOUNTING=T1,TRUE,H601,ID+WALL+0.05,,,,,,,,,
CH/FPD/PRODUCT/DES=H6 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,H611,ID+WALL+SO+LV+0.05,,,,,,,,,
CH/FPD/PRODUCT/DES=L7 AND CH/FPD/MOUNTING=T1,TRUE,L701,ID+WALL+0.05,2+(9.0*ID),,,,,,,,
