ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD300,CH/FPD/PRODUCT/DES,1,V1,1,TRUE,FALSE,,Machined Venturi,Machined Venturi,Machined,,,,,,,,,,
FPD300,CH/FPD/PRODUCT/DES,1,V2,2,TRUE,FALSE,,Fabricated Venturi,Fabricated Venturi,Fabricated,,,,,,,,,,
FPD300,CH/FPD/CUST/STD,2,A1,1,TRUE,FALSE,,Standard (15° Outlet Cone),Standard (15° Outlet Cone),15,,,,,,,,,,
FPD300,CH/FPD/CUST/STD,2,L1,2,TRUE,FALSE,,Long Pattern (7° Outlet Cone),Long Pattern (7° Outlet Cone),7,,,,,,,,,,
FPD300,CH/FPD/CUST/STD,2,A2,3,TRUE,FALSE,,Bi-directional (10.5° Inlet/Outlet Cones),Bi-directional (10.5° Inlet/Outlet Cones),10.5,,,,,,,,,,
FPD300,CH/FPD/CUST/STD,2,Z9,4,TRUE,FALSE,,Others,Others,,,,,,,,,,,
FPD300,CH/FPD/ORIFICE/DESIGN,3,Y0,1,TRUE,FALSE,,Standard - Direct,Standard - Direct,,,,,,,,,,,
FPD300,CH/FPD/ORIFICE/DESIGN,3,AR,2,TRUE,FALSE,,Annular Ring,Annular Ring,,,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,050,2,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 50 (2 in.),DN 50 (2 in.),"2""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,080,3,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 80 (3 in.),DN 80 (3 in.),"3""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,100,4,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 100 (4 in.),DN 100 (4 in.),"4""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,125,5,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 125 (5 in.),DN 125 (5 in.),"5""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,150,6,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 150 (6 in.),DN 150 (6 in.),"6""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,200,7,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 200 (8 in.),DN 200 (8 in.),"8""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,250,8,TRUE,FALSE,CH/FPD/PRODUCT/DES=V2,DN 250 (10 in.),DN 250 (10 in.),"10""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,300,9,TRUE,FALSE,CH/FPD/PRODUCT/DES=V1,DN 300 (12 in.),DN 300 (12 in.),"12""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,350,10,TRUE,FALSE,CH/FPD/PRODUCT/DES=V1,DN 350 (14 in.),DN 350 (14 in.),"14""",,,,,,,,,,
FPD300,CH/FPD/LINE/SIZE,4,400,11,TRUE,FALSE,CH/FPD/PRODUCT/DES=V1,DN 400 (16 in.),DN 400 (16 in.),"16""",,,,,,,,,,
