ProductCode,SelectionGroup,PartNumber,ExclusionRule,Cost
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=040) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=050) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=080) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=090) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=100) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=150) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=200) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),232
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=250) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),251
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=300) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),353
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=350) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),474
FPD470_1,CH/FPD/SURFACE/TREAT,HF1,(CH/FPD/LINE/SIZE=400) AND (CH/FPD/END/CONN/TYPE=S1 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3),610
