Notes,Expression,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
Beta low error,([Beta] IS NOT NULL) AND ([Beta] < 0.2) AND ([Beta] >= 0.15),3,Beta must be >= 0.2,,,,,
Beta low stop,([Beta] IS NOT NULL) AND ([Beta] < 0.15),4,Beta must be >= 0.2,,,,,
Beta high error,([Beta] IS NOT NULL) AND ([Beta] > 0.75) AND ([Beta] <= 0.8),3,Beta must be <= 0.75,,,,,
Beta high stop,([Beta] IS NOT NULL) AND ([Beta] > 0.8),4,Beta must be <= 0.75,,,,,
RTJ need support diameter,(([SelectedItem]{CH/FPD/PRODUCT/DES}='P2') OR ([SelectedItem]{CH/FPD/PRODUCT/DES}='P3')) AND ([PipeSupportDia] IS NULL),3,RTJ plates require support diameter to be specified,,,,,
Not RTJ; no support diameter,([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([PipeSupportDia] IS NOT NULL),3,Support diameter not necessary (ID is used),,,,,
Beta/Reynolds/Design,(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='E1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U1')) AND ([Beta] <= 0.56) AND ([Reynolds] < 5000),2,For Corner taps with Beta <= 0.56 Reynolds number must be >= 5000,,,,,
Beta/Reynolds/Design,(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='E1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='E1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='L1') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U1')) AND ([Beta] > 0.56) AND ([Reynolds] < 16000 * [Beta] * [Beta]),2,For Corner taps with Beta > 0.56 Reynolds number must be >= 16000*Beta�,,,,,
Beta/Reynolds/Design,(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C3') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U3')) AND ([Beta] <= 0.56) AND ([Reynolds] < 5000),2,For D & D/2 taps with Beta <= 0.56 Reynolds number must be >= 5000,,,,,
Beta/Reynolds/Design,(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C3') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U3')) AND ([Beta] > 0.56) AND ([Reynolds] < 16000 * [Beta] * [Beta]),2,For D &D/2 taps with Beta > 0.56 Reynolds number must be >= 16000*Beta�,,,,,
Beta/Reynolds/Design,(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='S2') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U2')) AND ([Reynolds] < 5000),2,For Flange taps Reynolds number must be >= 5000,,,,,
Beta/Reynolds/Design,"(([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='C2') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='S2') OR ([SelectedItem]{CH/FPD/ORIFICE/DESIGN}='U2')) AND ([Reynolds] < 170 * [Beta] * [Beta] * [PipeID]{length,PipeIDUnits} * 1000)",2,For Flange taps Reynolds number must be >= 170 * Beta� * PipeID (in mm),,,,,
Plate deflection,"([SelectedItem]{CH/FPD/PLATE/THICK,additionaldata} < [PlateThicknessMin]{length,LengthOutputUnits})",2,Selected plate thickness is below the mimimum plate thickness for deflection,,,,,
ABB,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P1','P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S1','S2','S4','S6','T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') ",2,Plate thickness is not to the ABB standard - recommend switch to alternative thickness as follows : 3mm (up to 8 in. NB); 6mm (10 to 12 in. NB); 10mm (14 to 20 in. NB)  - all subject to compliance with the Minimum Deflection Thickness shown in the calculation.,,,,,
ARAMCO,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P1','P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('S1','S2','S4','S6','S8','S9','T1')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') ",2,Plate thickness is not within ARAMCO design standard - recommend switch to alternative thickness,,,,,
10mm ABB,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S7') AND ([SelectedItem]{CH/FPD/CUST/STD}='A1')",2,10mm plate thickness is not recommended when using ABB design standard for RTJ plates,,,,,
ARAMCO RTJ,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2')",2,Plate thickness is not within ARAMCO design standard for RTJ meters,,,,,
ARAMCO  RTJ > 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P2','P3')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('650','700','750','800','850','900','950','001','051'))",2,Line size is not within ARAMCO design standard for RTJ meters,,,,,
ABB RTJ > 18in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P2','P3')) AND ([SelectedItem]{CH/FPD/CUST/STD}='A1') AND ([SelectedItem]{CH/FPD/LINE/SIZE} IN ('500','550','600','650','700','750','800','850','900','950','001','051'))",2,Line size is not within ABB design standard for RTJ meters,,,,,
"1.5mm SHELL not �, �, 1 or 1퐄n","([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S1') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('015','020','025','040'))",2,Line size not compatible with 1.5mm plate thickness when using Shell design standard,,,,,
2mm SHELL not 2in,([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S2') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050')),2,Line size not compatible with 2mm plate thickness when using Shell design standard,,,,,
3mm SHELL not 3 or 4in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S3') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('080','100'))",2,Line size not compatible with 3mm plate thickness when using Shell design standard,,,,,
3mm ARAMCO not 2in to 8in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P1','P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S3') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('050','065','080','090','100','125','150','200'))",2,Line size not compatible with 3mm plate thickness when using ARAMCO design ,,,,,
4mm SHELL not 6in,([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S4') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('150')),2,Line size not compatible with 4mm plate thickness when using Shell design standard,,,,,
6mm SHELL not 8in or 10in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S5') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('200','250'))",2,Line size not compatible with 6mm plate thickness when using Shell design standard,,,,,
6mm ARAMCO not 10in to 14in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P1','P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S5') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('250','300'))",2,Combination of Line size and Flange Rating is not compatible with 6mm plate thickness when using ARAMCO design standard,,,,,
8mm SHELL not 12in,([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S6') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('300')),2,Line size not compatible with 8mm plate thickness when using Shell design standard,,,,,
"10mm SHELL not 14in, 16in","([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S7') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('350','400'))",2,Line size not compatible with 10mm plate thickness when using Shell design standard,,,,,
10mm ARAMCO not 16in - 26in,"([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S7') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600','650'))",2,Line size not compatible with 10mm plate thickness when using ARAMCO design standard,,,,,
10mm ARAMCO RTJ not 16in - 24in,"([SelectedItem]{CH/FPD/PRODUCT/DES} IN ('P2','P3')) AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S7') AND ([SelectedItem]{CH/FPD/CUST/STD}='A2') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('400','450','500','600'))",2,Line size not compatible with 10mm plate thickness when using ARAMCO design standard,,,,,
"12mm SHELL not 18in, 20in","([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK}='S8') AND ([SelectedItem]{CH/FPD/CUST/STD}='S1') AND NOT([SelectedItem]{CH/FPD/LINE/SIZE} IN ('450','500'))",2,Line size not compatible with 12mm plate thickness when using Shell design standard,,,,,
SHELL,"([SelectedItem]{CH/FPD/PRODUCT/DES}='P1') AND ([SelectedItem]{CH/FPD/PLATE/THICK} IN ('T1','T2')) AND ([SelectedItem]{CH/FPD/CUST/STD}='S1')",2,Plate thickness is not within Shell design standard - recommend switch to alternative thickness,,,,,
