Expression,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
"(([OperatingPressure]{Pressure,OperatingPressureUnits} > [PipeDesignPressure]{Pressure,PipeDesignPressureUnits}) AND ([UserPipeDesignPressure] = true))",3,"Pipe design pressure must be greater than operating pressure.",,,,,
"([DPmetermaxflow]{DP,DPUnits} > [OperatingPressure]{Pressure,OperatingPressureUnits})",3,"Pressure drop entered greater than operating pressure!",,,,,
"([DPmetermaxflow]{DP,DPUnits} > ([OperatingPressure]{Pressure,OperatingPressureUnits} - 1000.0))",2,"Pressure drop entered produces an output pressure below atmospheric pressure.",,,,,
"(([DPStages][MeanPipeVelocity]{Velocity,VelocityOutputUnits} < 0.1) AND ([DPStages][StageNumber] = 1))",2,"Flow velocity less than 0.1m/s - this is very slow.",,,,,
"(([DPStages][MeanPipeVelocity]{Velocity,VelocityOutputUnits} > 100.0) AND ([DPStages][StageNumber] = 1))",2,"Flow velocity greater than 100m/s - this is very fast.",,,,,
"(([DPStages][Beta] < 0.1) AND (([FluidCategory] = 1) OR ('[DPStages][CalculationMethod]' = 'Restriction')))",2,"Beta lower than recommended in Shell Flow Meter Engineering Handbook (2nd Edition).",,,,,
"(([DPStages][Beta] > 0.5) AND ([FluidCategory] = 2) AND ('[DPStages][CalculationMethod]' = 'Critical'))",2,"Beta higher than recommended in Shell Flow Meter Engineering Handbook (2nd Edition).",,,,,
"([DPStages][BoreFactoryTemp]{Length,PipeDiameterUnits} < 0.0015)",2,"Bore of less than 1.5mm - please confirm manufacturing details with factory.",,,,,
"(([DPStages][PlateThicknessMin]{Length,LengthOutputUnits} > (6*[DPStages][BoreFactoryTemp]{Length,LengthOutputUnits})) AND ('[DPStages][CalculationMethod]' = 'Critical'))",2,"Plate thickness exceeds upper limit (6*bore) for critical flow orifice computation as per Miller.",,,,,
"([IsentropicIndex]<1 OR [IsentropicIndex]>3)",2,"Isentropic index out of normal range",,,,,
"(([UserPipeSupportDia] = TRUE) AND (ISNULL([PipeSupportDia]{Length,PipeSupportDiaUnits}, 0) < [PipeDiameter]{Length,PipeDiameterUnits}))",3,"Please supply Pipe Support Diameter (must be >= ID)",,,,,
"(('[DrainVent]' <> 'None') AND ([PipeDiameter]{Length,PipeDiameterUnits} <= 0.1))",3,"Drain/Vent only applicable if pipe internal diameter > 100mm",,,,,
"(('[DrainVent]' <> 'None') AND ([DrainVentDia]{Length,PipeDiameterUnits} > 0.1 * [DPStages][BoreFactoryTemp]{Length,PipeDiameterUnits}))",3,"Drain/Vent cannot be greater than 1/10th of bore",,,,,
"(('[DrainVent]' <> 'None') AND ([DrainVentDia]{Length,PipeDiameterUnits} <= 0))",3,"Please specify a Drain/Vent diameter",,,,,
"([FluidCategory] = 2) AND ([NumberOfStages] > 1)",1,"A minimum of 3½D separation between each stage is recommended",,,,,
