"ProductCode","SelectionGroup","GrpOrder","PartNumber","Order","Active","DefaultItem","ExclusionRule","Name","Description","AdditionalData","EnglishUS","EnglishUS_LongDesc","French","French_LongDesc","German","German_LongDesc","Spanish","Spanish_LongDesc","Russian","Russian_LongDesc"
FPD581,CH/FPD58/DESIGN/LEVEL,1,"Y0",1,True,False,"","Without Transmitter","Without Transmitter",,"","","","","","","","","",""
FPD581,CH/FPD58/DESIGN/LEVEL,1,"M1",2,True,False,"","Mass Flow Transmitter (267CS)","Mass Flow Transmitter (267CS)",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/TYPE,2,"F3",1,True,False,"","25 mm OD flanged probe without end support","25 mm OD flanged probe without end support",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/TYPE,2,"F4",2,True,False,"","25 mm OD flanged probe with cup end support","25 mm OD flanged probe with cup end support",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/TYPE,2,"F5",3,True,False,"","25 mm OD flanged probe with flanged external end support","25 mm OD flanged probe with flanged external end support",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/TYPE,2,"G3",4,True,False,"","60 mm OD flanged probe without end support","60 mm OD flanged probe without end support",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/TYPE,2,"G5",5,True,False,"","60 mm OD flanged probe with flanged external end support","60 mm OD flanged probe with flanged external end support",,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/MATERIAL,3,"S6",1,True,False,"","316L SS Probe","316L SS Probe",SS2,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/MATERIAL,3,"S1",2,True,False,"","321H SS Probe","321H SS Probe",2S,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/MATERIAL,3,"N2",3,True,False,"","UNS N06625 Probe","UNS N06625 Probe",HC2,"","","","","","","","","",""
FPD581,CH/FPD58/PROBE/MATERIAL,3,"Z9",4,True,False,"","Other","Other",XX,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"Y0",1,True,False,"","Not Required","Not Required",,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"C3",2,True,False,"","Carbon Steel Stack Fitting","Carbon Steel Stack Fitting",CS,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"S6",3,True,False,"","316L SS Stack Fitting","316L SS Stack Fitting",SS2,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"S1",4,True,False,"","321H SS Stack Fitting","321H SS Stack Fitting",2S,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"N2",5,True,False,"","UNS N06625 Stack Fitting","UNS N06625 Stack Fitting",HC2,"","","","","","","","","",""
FPD581,CH/FPD58/FITTING/MATERIAL,4,"Z9",6,True,False,"","Other","Other",XX,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"040",1,True,False,"CH/FPD58/PROBE/TYPE=F5 OR CH/FPD58/PROBE/TYPE=G3 OR CH/FPD58/PROBE/TYPE=G5","DN 40 (1-1/2 in.)","DN 40 (1-1/2 in.)",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"050",2,True,False,"CH/FPD58/PROBE/TYPE=F5 OR CH/FPD58/PROBE/TYPE=G3 OR CH/FPD58/PROBE/TYPE=G5","DN 50 (2 in.)","DN 50 (2 in.)",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"080",3,True,False,"","DN 80 (3 in.)","DN 80 (3 in.)",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"100",4,True,False,"","DN 100 (4 in.)","DN 100 (4 in.)",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"150",5,True,False,"","DN 150 (6 in.)","DN 150 (6 in.)",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/SIZE,5,"999",6,True,False,"","Other","Other",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/RATING,6,"A1F",1,True,False,"","ASME 150 lb RF","ASME 150 lb RF",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/RATING,6,"D1F",2,True,False,"","PN 10 RF","PN 10 RF",,"","","","","","","","","",""
FPD581,CH/FPD58/CONN/RATING,6,"Z9Z",3,True,False,"","Other","Other",,"","","","","","","","","",""
FPD581,CH/FPD58/STAND,7,"0",1,True,False,"CH/FPD58/PROBE/TYPE=F5 OR CH/FPD58/PROBE/TYPE=G5","Not required - by others","Not required - by others",,"","","","","","","","","",""
FPD581,CH/FPD58/STAND,7,"1",2,True,False,"(CH/FPD58/PROBE/TYPE=F5 OR CH/FPD58/PROBE/TYPE=G5) OR (CH/FPD58/FITTING/MATERIAL=Y0)","Flange standoff","Flange standoff",,"","","","","","","","","",""
FPD581,CH/FPD58/STAND,7,"2",3,True,False,"(CH/FPD58/PROBE/TYPE=F3 OR CH/FPD58/PROBE/TYPE=F4 OR CH/FPD58/PROBE/TYPE=G3) OR (CH/FPD58/FITTING/MATERIAL=Y0)","2 off flange standoff + flanged end support","2 off flange standoff + flanged end support",,"","","","","","","","","",""
FPD581,CH/FPD58/STAND,7,"3",4,True,False,"CH/FPD58/PROBE/TYPE=F3 OR CH/FPD58/PROBE/TYPE=F4 OR CH/FPD58/PROBE/TYPE=G3","Flanged end support only","Flanged end support only",,"","","","","","","","","",""
FPD581,CH/FPD58/INTERFACE/UNIT,8,"Y",1,True,False,"","No interface unit","No interface unit",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTX/MOUNT,9,"1",1,True,False,"","1/4 in. NPT Needle Valves","1/4 in. NPT Needle Valves",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTX/MOUNT,9,"2",2,True,False,"","1/2 in. NPT Needle Valves","1/2 in. NPT Needle Valves",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTX/MOUNT,9,"5",3,True,False,"","Integral 5 Valve","Integral 5 Valve",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTX/MOUNT,9,"9",4,True,False,"","Other","Other",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTXSPAN/LIMITS,10,"Y",1,True,False,"CH/FPD58/DESIGN/LEVEL=M1","Not Applicable","Not Applicable",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTXSPAN/LIMITS,10,"A",2,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","1 kPa / 10 mbar / 4 in. H2O","1 kPa / 10 mbar / 4 in. H2O",,"","","","","","","","","",""
FPD581,CH/FPD58/DPTXSPAN/LIMITS,10,"C",3,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","6 kPa / 60 mbar / 24 in. H2O","6 kPa / 60 mbar / 24 in. H2O",,"","","","","","","","","",""
FPD581,CH/FPD58/SEAL/MAT,11,"0",1,True,False,"CH/FPD58/DESIGN/LEVEL=M1","Not Applicable","Not Applicable",,"","","","","","","","","",""
FPD581,CH/FPD58/SEAL/MAT,11,"4",2,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","PTFE","PTFE",,"","","","","","","","","",""
FPD581,CH/FPD58/COMMS/OUTPUT,12,"Y0",1,True,False,"CH/FPD58/DESIGN/LEVEL=M1","Not Applicable","Not Applicable",,"","","","","","","","","",""
FPD581,CH/FPD58/COMMS/OUTPUT,12,"H1",2,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","HART digital communication and 4 ... 20 mA","HART digital communication and 4 ... 20 mA",,"","","","","","","","","",""
FPD581,CH/FPD58/COMMS/OUTPUT,12,"M1",3,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","MODBUS RS 485","MODBUS RS 485",,"","","","","","","","","",""
FPD581,CH/FPD58/HOUSE/MAT,13,"Y",1,True,False,"CH/FPD58/DESIGN/LEVEL=M1","Not applicable","Not applicable",,"","","","","","","","","",""
FPD581,CH/FPD58/HOUSE/MAT,13,"A",2,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","Aluminium alloy / 1/2-14 NPT","Aluminium alloy / 1/2-14 NPT",,"","","","","","","","","",""
FPD581,CH/FPD58/HOUSE/MAT,13,"B",3,True,False,"CH/FPD58/DESIGN/LEVEL=Y0","Aluminium alloy / M20 x 1.5","Aluminium alloy / M20 x 1.5",,"","","","","","","","","",""
