"Table","Display name","Field","Display name","Data type"
"ProductItem","Product Item","PK","PK","System.Guid"
"ProductItem","Product Item","DPFlowProduct","DPFlowProduct","System.Guid"
"ProductItem","Product Item","ProdConfigVersion","ProdConfigVersion","System.Double"
"ProductItem","Product Item","Active","Active","System.Boolean"
"ProductItem","Product Item","DisplayIndex","Display Index","System.Int32"
"ProductItem","Product Item","ItemName","Item #","System.String"
"ProductItem","Product Item","Quantity","Quantity","System.Int32"
"ProductItem","Product Item","SelectionOnlyItem","SelectionOnlyItem","System.Boolean"
"ProductItem","Product Item","ProductCode","Product Code","System.String"
"ProductItem","Product Item","ProductCodeDisplay","Product Display Code","System.String"
"ProductItem","Product Item","ProductName","DP Product Name","System.String"
"ProductItem","Product Item","DrawingRef","Drawing Ref","System.String"
"ProductItem","Product Item","CalculationIssue","Calc Issue","System.String"
"ProductItem","Product Item","CalculationStatus","Calc Status/Date","System.String"
"ProductItem","Product Item","CalculationDate","Calc Date","System.DateTime"
"ProductItem","Product Item","CalculationUser","Calc User","System.String"
"ProductItem","Product Item","CalculationNotes","Calc Notes","System.String"
"ProductItem","Product Item","Price","Price","System.Decimal"
"ProductItem","Product Item","PrivateNotes","Private Notes","System.String"
"ProductItem","Product Item","InfoMessages","Info Messages","System.String"
"ProductItem","Product Item","WarningMessages","Warning Messages","System.String"
"ProductItem","Product Item","ErrorMessages","Error Messages","System.String"
"ProductItem","Product Item","StopMessages","Stop Messages","System.String"
"ProductItem","Product Item","ComputationStopMessages","ComputationStopMessages","System.String"
"ProductItem","Product Item","FluidCategory","FluidCategory","System.Int32"
"ProductItem","Product Item","FluidName","FluidName","System.String"
"ProductItem","Product Item","OperatingPressure","Pressure","System.Double"
"ProductItem","Product Item","OperatingPressureUnits","OperatingPressureUnits","System.String"
"ProductItem","Product Item","DesignPressure","Design Press","System.Double"
"ProductItem","Product Item","OperatingTemperature","Temperature","System.Double"
"ProductItem","Product Item","OperatingTemperatureUnits","OperatingTemperatureUnits","System.String"
"ProductItem","Product Item","DesignTemperature","Design Temp","System.Double"
"ProductItem","Product Item","OperatingDensity","Density","System.Double"
"ProductItem","Product Item","OperatingDensityUnits","OperatingDensityUnits","System.String"
"ProductItem","Product Item","SG","SG","System.Double"
"ProductItem","Product Item","SGReference","SGReference","System.String"
"ProductItem","Product Item","SGConversionExplanation","SGConversionExplanation","System.String"
"ProductItem","Product Item","ZFactor","ZFactor","System.Double"
"ProductItem","Product Item","OperatingViscosity","Viscosity","System.Double"
"ProductItem","Product Item","OperatingViscosityUnits","OperatingViscosityUnits","System.String"
"ProductItem","Product Item","IsentropicIndex","Isentropic","System.Double"
