CharacteristicCode_Logic,Active,Description,StandOffLength_mm,StandoffMass_kg
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1"" 150lb RF",83,1.3
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1"" 300lb RF",89,2.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1"" 600lb RF",95,2.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1"" 900lb RF",106,
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1"" 1500lb RF",106,
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1"" 2500lb RF",122,
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1"" 150lb FF",83,1.3
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1"" 300lb FF",89,2.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1"" 600lb FF",95,2.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1"" 900lb FF",106,
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1"" 1500lb FF",106,
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1"" 2500lb FF",122,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1"" 150lb RTJ",83,1.3
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1"" 300lb RTJ",89,2.1
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1"" 600lb RTJ",95,2.1
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1"" 900lb RTJ",106,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1"" 1500lb RTJ",106,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1"" 2500lb RTJ",122,
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1½"" 150lb RF",95,2.4
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1½"" 300lb RF",100,3.8
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1½"" 600lb RF",109,4.2
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1½"" 900lb RF",122,
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1½"" 1500lb RF",122,7
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1½"" 2500lb RF",150,
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1½"" 150lb FF",95,2.4
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1½"" 300lb FF",100,3.8
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1½"" 600lb FF",109,4.2
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1½"" 900lb FF",122,
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1½"" 1500lb FF",122,7
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1½"" 2500lb FF",150,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A1,TRUE,"1½"" 150lb RTJ",95,2.4
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A3,TRUE,"1½"" 300lb RTJ",100,3.8
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A6,TRUE,"1½"" 600lb RTJ",109,4.2
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A7,TRUE,"1½"" 900lb RTJ",122,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A8,TRUE,"1½"" 1500lb RTJ",122,7
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=A9,TRUE,"1½"" 2500lb RTJ",150,
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A1,TRUE,"2"" 150lb RF",102,3.3
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A3,TRUE,"2"" 300lb RF",108,4.2
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A6,TRUE,"2"" 600lb RF",117,5.2
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A7,TRUE,"2"" 900lb RF",146,
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A8,TRUE,"2"" 1500lb RF",146,11.5
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=A9,TRUE,"2"" 2500lb RF",171,
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A1,TRUE,"2"" 150lb FF",102,3.3
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A3,TRUE,"2"" 300lb FF",108,4.2
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A6,TRUE,"2"" 600lb FF",117,5.2
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A7,TRUE,"2"" 900lb FF",146,
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A8,TRUE,"2"" 1500lb FF",146,11.5
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=A9,TRUE,"2"" 2500lb FF",171,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A1,TRUE,"2"" 150lb RTJ",102,3.3
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A3,TRUE,"2"" 300lb RTJ",108,4.2
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A6,TRUE,"2"" 600lb RTJ",117,5.2
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A7,TRUE,"2"" 900lb RTJ",146,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A8,TRUE,"2"" 1500lb RTJ",146,11.5
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=A9,TRUE,"2"" 2500lb RTJ",171,
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A1,TRUE,"3"" 150lb RF",118,7.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A3,TRUE,"3"" 300lb RF",127,10.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A6,TRUE,"3"" 600lb RF",137,11.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A7,TRUE,"3"" 900lb RF",156,17.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A8,TRUE,"3"" 1500lb RF",171,25
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=A9,TRUE,"3"" 2500lb RF",222,
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A1,TRUE,"3"" 150lb FF",118,7.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A3,TRUE,"3"" 300lb FF",127,10.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A6,TRUE,"3"" 600lb FF",137,11.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A7,TRUE,"3"" 900lb FF",156,17.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A8,TRUE,"3"" 1500lb FF",171,25
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=A9,TRUE,"3"" 2500lb FF",222,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A1,TRUE,"3"" 150lb RTJ",118,7.5
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A3,TRUE,"3"" 300lb RTJ",127,10.5
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A6,TRUE,"3"" 600lb RTJ",137,11.5
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A7,TRUE,"3"" 900lb RTJ",156,17.5
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A8,TRUE,"3"" 1500lb RTJ",171,25
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=A9,TRUE,"3"" 2500lb RTJ",222,
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN25 PN10 RF,67,1.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN25 PN16 RF,67,1.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN25 PN25 RF,67,1.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN25 PN40 RF,67,1.1
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN25 PN64 RF,89,2.6
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN25 PN100 RF,89,2.6
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN25 PN160 RF,100,4
CH/FPD/END/CONN/TYPE=R3 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN25 PN260 RF,100,4
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN25 PN10 FF,67,1.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN25 PN16 FF,67,1.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN25 PN25 FF,67,1.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN25 PN40 FF,67,1.1
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN25 PN64 FF,89,2.6
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN25 PN100 FF,89,2.6
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN25 PN160 FF,100,4
CH/FPD/END/CONN/TYPE=F3 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN25 PN260 FF,100,4
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN25 PN10 RTJ,67,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN25 PN16 RTJ,67,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN25 PN25 RTJ,67,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN25 PN40 RTJ,67,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN25 PN64 RTJ,89,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN25 PN100 RTJ,89,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN25 PN160 RTJ,100,
CH/FPD/END/CONN/TYPE=J1 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN25 PN260 RTJ,100,
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN40 PN10 RF,78,2.15
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN40 PN16 RF,78,2.15
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN40 PN25 RF,78,2.15
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN40 PN40 RF,78,2.15
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN40 PN64 RF,101,4.2
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN40 PN100 RF,103,4.2
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN40 PN160 RF,116,6.3
CH/FPD/END/CONN/TYPE=R4 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN40 PN260 RF,116,6.3
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN40 PN10 FF,78,2.15
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN40 PN16 FF,78,2.15
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN40 PN25 FF,78,2.15
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN40 PN40 FF,78,2.15
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN40 PN64 FF,101,4.2
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN40 PN100 FF,103,4.2
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN40 PN160 FF,116,6.3
CH/FPD/END/CONN/TYPE=F4 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN40 PN260 FF,116,6.3
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN40 PN10 RTJ,78,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN40 PN16 RTJ,78,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN40 PN25 RTJ,78,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN40 PN40 RTJ,78,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN40 PN64 RTJ,101,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN40 PN100 RTJ,103,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN40 PN160 RTJ,116,
CH/FPD/END/CONN/TYPE=J2 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN40 PN260 RTJ,116,
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN50 PN10 RF,86,3.1
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN50 PN16 RF,86,3.1
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN50 PN25 RF,86,3.1
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN50 PN40 RF,86,3.1
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN50 PN64 RF,108,5.2
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN50 PN100 RF,111,5.2
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN50 PN160 RF,140,9
CH/FPD/END/CONN/TYPE=R5 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN50 PN260 RF,140,9
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN50 PN10 FF,86,3.1
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN50 PN16 FF,86,3.1
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN50 PN25 FF,86,3.1
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN50 PN40 FF,86,3.1
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN50 PN64 FF,108,5.2
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN50 PN100 FF,111,5.2
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN50 PN160 FF,140,9
CH/FPD/END/CONN/TYPE=F5 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN50 PN260 FF,140,9
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN50 PN10 RTJ,86,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN50 PN16 RTJ,86,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN50 PN25 RTJ,86,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN50 PN40 RTJ,86,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN50 PN64 RTJ,108,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN50 PN100 RTJ,111,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN50 PN160 RTJ,140,
CH/FPD/END/CONN/TYPE=J3 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN50 PN260 RTJ,140,
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN80 PN10 RF,98,7.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN80 PN16 RF,98,7.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN80 PN25 RF,98,7.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN80 PN40 RF,106,7.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN80 PN64 RF,127,11.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN80 PN100 RF,131,11.5
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN80 PN160 RF,150,20
CH/FPD/END/CONN/TYPE=R6 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN80 PN260 RF,165,20
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN80 PN10 FF,98,7.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN80 PN16 FF,98,7.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN80 PN25 FF,98,7.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN80 PN40 FF,106,7.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN80 PN64 FF,127,11.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN80 PN100 FF,131,11.5
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN80 PN160 FF,150,20
CH/FPD/END/CONN/TYPE=F6 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN80 PN260 FF,165,20
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D1,TRUE,DN80 PN10 RTJ,98,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D2,TRUE,DN80 PN16 RTJ,98,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D3,TRUE,DN80 PN25 RTJ,98,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D4,TRUE,DN80 PN40 RTJ,106,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D5,TRUE,DN80 PN64 RTJ,127,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D6,TRUE,DN80 PN100 RTJ,131,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D7,TRUE,DN80 PN160 RTJ,150,
CH/FPD/END/CONN/TYPE=J4 AND CH/FPD/END/CONN/RAT=D8,TRUE,DN80 PN260 RTJ,165,
CH/FPD/END/CONN/TYPE=R7 AND CH/FPD/END/CONN/RAT=A1,TRUE,"4"" 150lb RF",150,9.8
CH/FPD/END/CONN/TYPE=F7 AND CH/FPD/END/CONN/RAT=A1,TRUE,"4"" 150lb FF",150,9.8
CH/FPD/END/CONN/TYPE=R7 AND CH/FPD/END/CONN/RAT=A3,TRUE,"4"" 300lb RF",150,14.2
CH/FPD/END/CONN/TYPE=F7 AND CH/FPD/END/CONN/RAT=A3,TRUE,"4"" 300lb FF",150,14.2
CH/FPD/END/CONN/TYPE=R8 AND CH/FPD/END/CONN/RAT=A1,TRUE,"6"" 150lb RF",150,13.6
CH/FPD/END/CONN/TYPE=F8 AND CH/FPD/END/CONN/RAT=A1,TRUE,"6"" 150lb FF",150,13.6
CH/FPD/END/CONN/TYPE=R8 AND CH/FPD/END/CONN/RAT=A3,TRUE,"6"" 300lb RF",150,22.1
CH/FPD/END/CONN/TYPE=F8 AND CH/FPD/END/CONN/RAT=A3,TRUE,"6"" 300lb FF",150,22.1
