CharacteristicCode_Logic,Active,Description,TORWINGroup,KFactorGroup,MaxDPGroup,MaxPressure_BarG,MaxTemperature_DegC,SensorDiaID35_mm,SensorDia_mm,CriticalVLFactor,CriticalVHFactor,MinLength_mm,MaxLength_GasVapour_mm,MaxLength_Liquid_mm,BiDirectional_Characteristic
CH/FPD/PRODUCT/DES=W1,TRUE,121 Butt Weld Inline with Butt Weld process connections. Note - Standard 100 Series models are made using Sched 80 pipe sections,1,1,1,50,450,4.7625,6.35,0,0,13,50,50,
CH/FPD/PRODUCT/DES=T1,TRUE,122 Threaded Inline with threaded process connections. Note - Standard 100 Series models are made using Sched 80 pipe sections,1,1,1,50,200,4.7625,6.35,0,0,13,50,50,
CH/FPD/PRODUCT/DES=F1,TRUE,123 Flanged Inline with flanged process connections. Note - Standard 100 Series models are made using Sched 80 pipe sections,1,1,1,125,0,4.7625,6.35,0,0,13,50,50,
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/MOUNTING=T1,TRUE,"301 13mm dia insertion probe ½"" Threaded mounting",2,2,2,50,400,,12.7,0.472,0.728,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T3 AND CH/FPD/MOUNTING=T2,TRUE,"302 13mm dia insertion probe ½"" Threaded mounting with end support",2,2,2,50,400,,12.7,2.067,3.188,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/MOUNTING=T1,TRUE,"401 25mm dia insertion probe 1"" Threaded mounting",2,3,3,50,400,,25.4,1.843,2.84,100,1800,600,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T4 AND CH/FPD/MOUNTING=T2,TRUE,"402 25mm dia insertion probe 1"" Threaded mounting with end support",2,3,4,50,400,,25.4,8.08,12.44,100,3500,3400,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T3 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,311 13mm dia insertion probe Flanged mounting,3,2,2,200,0,,12.7,0.472,0.728,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T3 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F7),TRUE,312 13mm dia insertion probe Flanged mounting with end support,3,2,2,200,0,,12.7,2.067,3.188,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T4 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,411 25mm dia insertion probe Flanged mounting,3,3,3,200,0,,25.4,1.843,2.84,100,1800,600,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T4 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,412 25mm dia insertion probe Flanged mounting with end support,3,3,4,200,0,,25.4,8.08,12.44,100,3500,3500,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T5 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,511 60mm dia insertion probe Flanged mounting,4,4,5,0,0,,60,10.88,16.766,250,1800,800,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=T5 AND (CH/FPD/MOUNTING=F2 OR CH/FPD/MOUNTING=F3 OR CH/FPD/MOUNTING=F4 OR CH/FPD/MOUNTING=F5 OR CH/FPD/MOUNTING=F6 OR CH/FPD/MOUNTING=F7),TRUE,512 60mm dia insertion probe Flanged mounting with end support,4,4,6,0,0,,60,47.65,73.43,300,8000,5000,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=L6 AND CH/FPD/MOUNTING=T1,TRUE,"L601 13mm dia insertion probe ½"" Retractable LP Threaded mounting",5,2,2,10,0,,12.7,0.472,0.728,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=H6 AND CH/FPD/MOUNTING=T1,TRUE,"H601 13mm dia insertion probe ½"" Retractable HP Threaded mounting",5,2,2,40,0,,12.7,0.472,0.728,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=H6 AND (CH/FPD/MOUNTING=F1 OR CH/FPD/MOUNTING=F7),TRUE,H611 13mm dia insertion probe Retractable HP Flanged mounting,5,2,2,100,0,,12.7,0.472,0.728,50,150,150,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=L7 AND CH/FPD/MOUNTING=T1,TRUE,"L701 25mm dia insertion probe 1"" Retractable LP Threaded mounting",5,3,3,10,0,,25.4,1.843,2.84,100,1800,600,CH/FPD/TORBAR/DES=TP5
CH/FPD/PRODUCT/DES=L7 AND CH/FPD/MOUNTING=T2,TRUE,"L702 25mm dia insertion probe 1"" Retractable LP Threaded mounting with end support",5,3,4,10,0,,25.4,8.08,12.44,100,3000,3000,CH/FPD/TORBAR/DES=TP5
