Notes,Expression,SelectionOnly,RuleType,ShortName,EnglishUS,French,German,Spanish,Russian
Beta low stop (Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.4),FALSE,4,Beta value must be >= 0.4,,,,,
Beta high stop (Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.75),FALSE,4,Beta must be <= 0.75,,,,,
Reynolds @ meter max (Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 200000),FALSE,2,Reynolds number must be >= 200000,,,,,
Reynolds @ normal ((Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterNormal] < 200000),FALSE,2,Reynolds number (@ normal flow) must be >= 200000,,,,,
Reynolds @ meter max (Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] < 1000000),FALSE,2,Reynolds number must be <= 1000000,,,,,
Reynolds @ normal ((Machined),([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterNormal] < 1000000),FALSE,2,Reynolds number (@ normal flow) must be <= 1000000,,,,,
Beta low stop (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([Beta] IS NOT NULL) AND ([Beta] < 0.4),FALSE,4,Beta value must be >= 0.4,,,,,
Beta high stop (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([Beta] IS NOT NULL) AND ([Beta] > 0.7),FALSE,4,Beta must be <= 0.7,,,,,
Reynolds @ meter max (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 200000),FALSE,2,Reynolds number must be >= 200000,,,,,
Reynolds @ normal (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterNormal] < 200000),FALSE,2,Reynolds number (@ normal flow) must be >= 200000,,,,,
Reynolds @ meter max (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] < 2000000),FALSE,2,Reynolds number must be <= 2000000,,,,,
Reynolds @ normal (Fabricated),([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterNormal] < 2000000),FALSE,2,Reynolds number (@ normal flow) must be <= 2000000,,,,,
Pipe bore too Big,"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([MachinedBore]{Length,LengthOutputUnits}>250)",FALSE,3,Pipe Bore too Big (max 250mm),,,,,
Pipe bore too Small,"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([MachinedBore]{Length,LengthOutputUnits}<0.05)",FALSE,3,Pipe Bore too small (min 50mm),,,,,
Pipe bore too Big,"([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([MachinedBore]{Length,LengthOutputUnits}>1.2)",FALSE,3,Pipe Bore too Big (max 1200mm),,,,,
Pipe bore too Small,"([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([MachinedBore]{Length,LengthOutputUnits}<0.2)",FALSE,3,Pipe Bore too small (min 200mm),,,,,
Expansability Check p2/p1,"([SelectedItem]{CH/FPD/PRODUCT/DES}='V1','V2')  AND ([DPmetermaxflow]{DP,DPUnits} / [OperatingPressure]{Pressure,OperatingPressureUnits} > 0.25)",FALSE,3,P2/P1 must be => 0.75,,,,,
,,,,,,,,,
Limit Info,([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') ,,,The Discharge Coefficient  C (0.995) is only valid under the following conditions - OD = 50mm - 250mm Beta = 0.4 - 0.75 Red =  2*10^5 - 1*10^6,,,,,
Limit Info,([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') ,,,The Discharge Coefficient  C (0.985)is only valid under the following conditions - OD = 200mm - 1200mm Beta = 0.4 - 0.75 Red =  2*10^5 - 2*10^6,,,,,
Limit Info V1,([SelectedItem]{CH/FPD/PRODUCT/DES}='V1') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND ([ReynoldsNoAtMeterMax] < 200000) AND  ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] < 1000000),,,"The Reynolds number ReD is outside the scope of ISO-5167-4, the Coefficient of discharge value will be calculated using ISO-5167-4 Annex B ",,,,,
Limit Info V2,([SelectedItem]{CH/FPD/PRODUCT/DES}='V2') AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] < 200000) AND ([ReynoldsNoAtMeterMax] IS NOT NULL) AND  ([ReynoldsNoAtMeterMax] < 2000000),,,"The Reynolds number ReD is outside the scope of ISO-5167-4, the Coefficient of discharge value will be calculated using ISO-5167-4 Annex B ",,,,,
